node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-8.8888888888888851e-01,1.1333333333333332e+01,7.6905989232414980e+00,1.9860273225978185e-15,1.6764781109515293e-15,-7.8493107547844912e-04,2.5835575953268485e-17,-1.2019063829328428e-05,4.0289390711494342e+01,2.4173634426467682e+01,4.2892267515526328e-10,1.1565404106855017e-11,-8.3012701473876047e-06,sliding
1,-7.7777777777777812e-01,1.1166666666666668e+01,7.9792740578363084e+00,2.5121479338940403e-15,-1.6844029482857037e-15,-1.2528352527902463e-03,4.1946087987569658e-16,-1.9372061954043167e-05,3.9739322913744189e+01,2.3843593748301412e+01,-5.4900084478504141e-11,2.4701444641810846e-12,-1.3197130722832323e-05,sliding
2,-6.6666666666666630e-01,1.1000000000000000e+01,8.2679491924311233e+00,0.0000000000000000e+00,2.5136908484264768e-15,-1.5869054887283505e-03,1.2332799712022613e-16,-2.5073567638593826e-05,4.0645115143557717e+01,2.4387069086242480e+01,-1.0784972914734681e-10,3.9074993948602625e-12,-1.7470595035456038e-05,sliding
3,-5.5555555555555514e-01,1.0833333333333332e+01,8.5566243270259363e+00,1.7763568394002505e-15,-2.2923948273530416e-15,-1.8202351809340944e-03,1.5430399200131589e-16,-2.9280555867016439e-05,3.8994653471190759e+01,2.3396792082810535e+01,-9.6079588729480747e-11,3.5412046520044583e-12,-1.9573459362562908e-05,sliding
4,-4.4444444444444531e-01,1.0666666666666668e+01,8.8452994616207459e+00,2.5121479338940403e-15,-2.4322774073758512e-17,-1.9952615174325646e-03,-1.1180326683988412e-16,-3.2632529995159246e-05,4.0786397365694199e+01,2.4471838419535143e+01,-1.1862510973514873e-10,2.6684414356550701e-12,-2.2816514321776313e-05,sliding
5,-3.3333333333333337e-01,1.0500000000000000e+01,9.1339745962155607e+00,0.0000000000000000e+00,2.3945676062165073e-15,-2.1224663707863686e-03,-6.3543564670070357e-17,-3.5140460783367495e-05,3.9061759764614010e+01,2.3437055858772254e+01,-3.8475889141409425e-12,9.5939597468239054e-13,-2.3531112636650853e-05,sliding
6,-2.2222222222222154e-01,1.0333333333333332e+01,9.4226497308103756e+00,2.5121479338940403e-15,4.9285150181955672e-16,-2.2043813923527788e-03,-2.8759563768009436e-16,-3.6833100235611997e-05,4.0659663412102205e+01,2.4395798047104758e+01,1.5656453911105928e-10,4.3855853187949473e-12,-2.5673510708478772e-05,sliding
7,-1.1111111111111149e-01,1.0166666666666668e+01,9.7113248654051869e+00,1.7763568394002505e-15,-2.3290507719613580e-15,-2.2542302149149698e-03,-4.7775612331425710e-17,-3.7851023637925561e-05,3.9705214085856021e+01,2.3823128451427781e+01,8.5830009766141302e-11,3.0625856083047351e-12,-2.5763708518409426e-05,sliding
8,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,3.1383041112804820e-15,-2.2715190167143296e-03,1.8489476142651420e-16,-3.8209714438193433e-05,3.9865512848250866e+01,2.3919307709010496e+01,-5.9976912325510057e-11,1.8471057397096278e-12,-2.6112854774873424e-05,sliding
9,1.1111111111111027e-01,9.8333333333333339e+00,1.0288675134594811e+01,1.7763568394002505e-15,3.5081952320621918e-15,-2.2551977543592188e-03,-1.9520754090274145e-16,-3.7867841337453612e-05,3.9680603563431880e+01,2.3808362138047602e+01,1.1525003174028825e-11,5.5964133756477978e-13,-2.5759179427092130e-05,sliding
10,2.2222222222222321e-01,9.6666666666666643e+00,1.0577350269189628e+01,2.5121479338940403e-15,6.4679037773713389e-16,-2.2051842000882925e-03,1.0791623264493413e-16,-3.6850276780797637e-05,4.0735749452222073e+01,2.4441449671288066e+01,4.5176307139627170e-11,8.4389197550591958e-13,-2.5733548151740018e-05,sliding
11,3.3333333333333370e-01,9.5000000000000000e+00,1.0866025403784439e+01,0.0000000000000000e+00,4.2408703282483617e-15,-2.1231732581462178e-03,9.5551245680915858e-17,-3.5157860587314263e-05,3.9040590291264039e+01,2.3424354174799817e+01,-4.1392667071704636e-11,6.5265889933311415e-13,-2.3530005097870995e-05,sliding
12,4.4444444444444398e-01,9.3333333333333339e+00,1.1154700538379251e+01,0.0000000000000000e+00,-6.4656197211450541e-15,-1.9959018682993495e-03,4.4172768199311763e-17,-3.2649670189638796e-05,4.0771759620336070e+01,2.4463055772236704e+01,-3.5061731296082144e-11,1.4682254187447110e-12,-2.2820305794121943e-05,sliding
13,5.5555555555555425e-01,9.1666666666666679e+00,1.1443375672974060e+01,1.7763568394002505e-15,-3.1943476539835093e-15,-1.8213977029934705e-03,7.3378464220640038e-17,-2.9299828077000387e-05,3.9043039340806878e+01,2.3425823604394413e+01,8.9713125817070249e-11,3.4592494192981640e-12,-1.9610645833454113e-05,sliding
14,6.6666666666666763e-01,8.9999999999999982e+00,1.1732050807568879e+01,2.5121479338940403e-15,-3.2095654742413152e-15,-1.5887286374558862e-03,-1.9826161383202506e-16,-2.5102987954278057e-05,4.0678153449478501e+01,2.4406892069491303e+01,1.9579715626605321e-10,6.2914870769141224e-12,-1.7505311932051565e-05,sliding
15,7.7777777777777768e-01,8.8333333333333339e+00,1.2020725942163690e+01,0.0000000000000000e+00,-2.8727166403061321e-15,-1.2559360107521173e-03,5.7027340206843025e-17,-1.9420234583767620e-05,3.9448259617738216e+01,2.3668955770577501e+01,6.5426775108790025e-11,1.0439850934578060e-12,-1.3133047811926725e-05,sliding
16,8.8888888888888773e-01,8.6666666666666679e+00,1.2309401076758501e+01,2.5121479338940403e-15,-6.2700634217133469e-15,-7.8809999052544585e-04,-7.1452311298583759e-17,-1.2070272742405204e-05,4.0490214517824903e+01,2.4294128710929822e+01,-2.3488055944653752e-10,6.4973366718465274e-12,-8.3781931308577114e-06,sliding
