node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-8.9999999999999991e-01,1.1350000000000000e+01,7.6617314097820159e+00,0.0000000000000000e+00,-1.5741781687676541e-15,-8.4204932782856420e-04,-2.8152664661301730e-16,-1.4074951930221094e-05,3.9308380615493199e+01,2.3585028369547079e+01,-2.5115909352280141e-10,9.8633083112612261e-12,-9.4845183021221694e-06,sliding
1,-8.0000000000000016e-01,1.1199999999999999e+01,7.9215390309173470e+00,0.0000000000000000e+00,2.1569372797433563e-15,-1.2925440130526281e-03,-6.3002310616774859e-17,-2.1827088843744061e-05,4.0136864580354676e+01,2.4082118748066446e+01,1.4635759271186544e-10,3.3507648886343140e-12,-1.5018358441704025e-05,sliding
2,-7.0000000000000018e-01,1.1050000000000001e+01,8.1813466520526781e+00,0.0000000000000000e+00,8.2496032599920972e-16,-1.6079227786897409e-03,-1.6593544843301195e-16,-2.7776971022739137e-05,4.0100434596281531e+01,2.4060260757774500e+01,-5.5813131893955870e-12,2.0131360010312226e-12,-1.9094890453378571e-05,sliding
3,-6.0000000000000009e-01,1.0900000000000000e+01,8.4411542731880100e+00,0.0000000000000000e+00,-1.2963719792295107e-15,-1.8178168301960487e-03,-1.4210841162674848e-16,-3.2030237677427195e-05,3.9925997225373457e+01,2.3955598335345435e+01,-1.2136069926782511e-10,3.3792489796505253e-12,-2.1922957382459817e-05,sliding
4,-5.0000000000000000e-01,1.0750000000000000e+01,8.7009618943233420e+00,0.0000000000000000e+00,-3.2775600063321533e-15,-1.9954226998772843e-03,2.6744048870017828e-16,-3.5752840262916761e-05,3.9945848977050503e+01,2.3967509386184243e+01,4.6057380131969694e-11,8.9136546024694234e-13,-2.4483043845262954e-05,sliding
5,-3.9999999999999958e-01,1.0600000000000000e+01,8.9607695154586740e+00,0.0000000000000000e+00,-5.5008634775989072e-16,-2.1174645627670022e-03,1.9329291856343134e-18,-3.8418082484808640e-05,3.9970353940007705e+01,2.3982212363877409e+01,1.2721201869680954e-10,4.5818386708122352e-12,-2.6324303221818281e-05,sliding
6,-2.9999999999999949e-01,1.0449999999999999e+01,9.2205771365940059e+00,0.0000000000000000e+00,5.9390852666221442e-16,-2.2173028396628527e-03,-6.4897123319782729e-17,-4.0643724532902252e-05,3.9919500905428208e+01,2.3951700543161863e+01,9.5059959903665003e-11,1.7893759314178800e-12,-2.7813894827738169e-05,sliding
7,-2.0000000000000029e-01,1.0300000000000001e+01,9.4803847577293361e+00,0.0000000000000000e+00,-5.9296938078266508e-15,-2.2776989058329372e-03,2.4783337003713574e-17,-4.2009814125948145e-05,3.9957100031386553e+01,2.3974260018755519e+01,7.6411765803641174e-11,1.1633732961288660e-12,-2.8775834491287698e-05,sliding
8,-1.0000000000000020e-01,1.0150000000000000e+01,9.7401923788646680e+00,0.0000000000000000e+00,-3.7892497371023599e-15,-2.3204074637421233e-03,-7.3611398281134971e-18,-4.3002643841674330e-05,3.9945946154148153e+01,2.3967567692602326e+01,-1.1343459505042119e-10,3.5514482571576209e-12,-2.9447679349605658e-05,sliding
9,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,1.5519359326247845e-16,-2.3287347852662642e-03,-8.6068804235871121e-17,-4.3185491941589211e-05,3.9944237568289346e+01,2.3966542540971030e+01,2.5757174171303632e-12,6.8519481703561356e-14,-2.9571626564881696e-05,sliding
10,9.9999999999999423e-02,9.8500000000000014e+00,1.0259807621135330e+01,1.7763568394002505e-15,-6.9451323349754085e-15,-2.3204068132579450e-03,1.8853851346812047e-16,-4.3001862121119933e-05,3.9946265827073361e+01,2.3967759496227476e+01,1.6541434888495132e-11,1.0053145532418911e-12,-2.9447379691683911e-05,sliding
11,1.9999999999999907e-01,9.7000000000000011e+00,1.0519615242270660e+01,1.7763568394002505e-15,-3.4446207274932519e-15,-2.2777028571475057e-03,-2.2048267617029438e-16,-4.2009734452645474e-05,3.9956534301922609e+01,2.3973920581343421e+01,-1.8985701899509877e-10,4.9729491077867822e-12,-2.8775372497458549e-05,sliding
12,3.0000000000000138e-01,9.5499999999999972e+00,1.0779422863405998e+01,3.9720546451956370e-15,-1.7403426777816371e-16,-2.2173027230728659e-03,-2.9333597996363675e-17,-4.0644595497245698e-05,3.9920199920170447e+01,2.3952119952068863e+01,3.3406166721761110e-11,4.0034492602770482e-13,-2.7814977907238485e-05,sliding
13,4.0000000000000080e-01,9.3999999999999986e+00,1.1039230484541328e+01,2.5121479338940403e-15,3.0407277449730513e-15,-2.1174681118410880e-03,-9.5736745896364550e-17,-3.8418803037550353e-05,3.9969901186014667e+01,2.3981940711647802e+01,-3.9001690765871899e-11,2.2512650146317558e-12,-2.6324498761685917e-05,sliding
14,5.0000000000000044e-01,9.2500000000000000e+00,1.1299038105676660e+01,0.0000000000000000e+00,7.2439333652078999e-15,-1.9954243726385819e-03,1.9056547247327249e-16,-3.5754857030238386e-05,3.9946096372365567e+01,2.3967657823286757e+01,1.3258372177915589e-10,3.9393789836163074e-12,-2.4484576537751217e-05,sliding
15,6.0000000000000009e-01,9.0999999999999996e+00,1.1558845726811990e+01,0.0000000000000000e+00,5.3476112358774219e-16,-1.8178197444181578e-03,-2.2099089593864696e-16,-3.2030539922367899e-05,3.9925732019429425e+01,2.3955439211916936e+01,-2.5928059699253936e-10,7.0222931399121303e-12,-2.1923018629576082e-05,sliding
16,6.9999999999999996e-01,8.9499999999999993e+00,1.1818653347947320e+01,0.0000000000000000e+00,1.9938729319861266e-15,-1.6079232664930813e-03,6.6097369006042073e-17,-2.7777550905169944e-05,4.0100724795844577e+01,2.4060434877646490e+01,-1.3974243984193890e-10,4.3759763766496171e-12,-1.9095427274695764e-05,sliding
17,7.9999999999999893e-01,8.8000000000000007e+00,1.2078460969082650e+01,0.0000000000000000e+00,4.2368266251771826e-15,-1.2925419356408984e-03,2.7176882706064776e-16,-2.1826500776495952e-05,4.0136786851348738e+01,2.4082072110861695e+01,-5.2452264753810596e-11,3.8251815561053990e-14,-1.5017924732210123e-05,sliding
18,9.0000000000000169e-01,8.6499999999999968e+00,1.2338268590217989e+01,3.5527136788005009e-15,-3.0027772358369915e-18,-8.4204841649267897e-04,-6.4814961123899062e-18,-1.4070152833500100e-05,3.9308372216858842e+01,2.3585023330159373e+01,-4.4067860471841414e-11,3.8623995840845950e-12,-9.4812823667716520e-06,sliding
