step,t_dless,t_phys_s,dt_dless,min_cone_margin_MPa,max_cone_violation_MPa,max_positive_friction_power,max_abs_normal_power_closed,p_contact_total,p_contact_pert,p_offset,p_contact_metric,p_contact_metric_mismatch,p_normal_total,p_tangent_total,p_tangent_pert,p_tangent_offset,p_cross_metric,p_friction_lumped,d_fric_rate,d_fric_lumped_rate,friction_injection_rate,D_fric,D_fric_lumped,W_contact_total,W_contact_pert,W_offset_external,W_tangent_total,W_tangent_pert,W_tangent_offset,W_normal_total,W_cross_metric,KE,W_elastic,D_vis,bulk_residual_pert,bulk_residual_total,interface_residual_D_fric_plus_W_tangent,coulomb_lumped_residual,endpoint_res_inf,endpoint_res_l2,endpoint_force_res_inf,max_abs_vt,min_gap
0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,nan,nan,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,1.0519015828731234e-04,2.9216148852194997e-05,1.0519015828731234e-04,-4.2743586448068527e-14,4.2743586448068527e-14,0.0000000000000000e+00,8.9347682349613896e-19,-1.9396892697286431e-03,8.6027870401151024e-04,-2.7999679737401532e-03,-1.9396892697286431e-03,0.0000000000000000e+00,-6.2449220618398829e-20,-1.9396892697286431e-03,8.6027870401151035e-04,-2.7999679737401536e-03,0.0000000000000000e+00,-1.3248530000024719e-03,1.9396892697286431e-03,1.3248530000024715e-03,0.0000000000000000e+00,1.0201811065547863e-07,6.9680748388840294e-08,-1.0201811065547863e-07,4.5246426523087338e-08,-1.4726453717856596e-07,-1.0201811065547863e-07,4.5246426523087344e-08,-1.4726453717856598e-07,-3.2845217008843308e-24,0.0000000000000000e+00,4.2430096094968991e-08,3.1082035761169796e-13,1.3289459851548069e-09,-1.4870736226059286e-09,1.4577746355596004e-07,0.0000000000000000e+00,-3.2337362266638332e-08,1.0842021724855044e-18,2.1582916603976109e-18,9.2888659726971439e-14,1.7520374628967623e-03,-4.0543775094521706e-22
2,2.0350527545081939e-04,5.6522782326635452e-05,9.8315117163507056e-05,-6.2172489379008766e-14,6.2172489379008766e-14,0.0000000000000000e+00,4.4793683704326510e-18,-3.7005657631014547e-03,1.6421580088794266e-03,-5.3427237719808809e-03,-3.7005657631014543e-03,-4.3368086899420177e-19,5.3901411545214271e-19,-3.7005657631014556e-03,1.6421580088794268e-03,-5.3427237719808826e-03,8.6736173798840355e-19,-2.5273658520922828e-03,3.7005657631014556e-03,2.5273658520922841e-03,0.0000000000000000e+00,3.7927927784785437e-07,2.5904642228042357e-07,-3.7927927784785437e-07,1.6826010583415427e-07,-5.4753938368200857e-07,-3.7927927784785437e-07,1.6826010583415430e-07,-5.4753938368200878e-07,2.0142245034912643e-23,4.2637385446736502e-23,1.5485324737845365e-07,1.8522238224447181e-12,6.9827086176932264e-09,-6.4222976141849614e-09,5.4111708606782366e-07,0.0000000000000000e+00,-1.2023285556743080e-07,3.6140072416183484e-18,8.1956728406409539e-18,3.0901207518733528e-14,3.3253259552054682e-03,-8.7416593163962988e-21
3,3.0674953201510394e-04,8.5198464700622105e-05,1.0324425656428455e-04,-4.2743586448068527e-14,4.2743586448068527e-14,0.0000000000000000e+00,1.3545332637658518e-17,-5.4995345750278833e-03,2.4417691163429820e-03,-7.9413036913708653e-03,-5.4995345750278833e-03,0.0000000000000000e+00,1.6921664240616862e-18,-5.4995345750278850e-03,2.4417691163429816e-03,-7.9413036913708671e-03,0.0000000000000000e+00,-3.7556905361404548e-03,5.4995345750278850e-03,3.7556905361404600e-03,0.0000000000000000e+00,8.5420803771134764e-07,5.8339116515770782e-07,-8.5420803771134764e-07,3.7908111578730595e-07,-1.2332891534986534e-06,-8.5420803771134764e-07,3.7908111578730601e-07,-1.2332891534986539e-06,1.3532053306631492e-22,8.7412444352195746e-23,3.4304154693008540e-07,6.5181234670154134e-12,2.1598391255439052e-08,-1.4434659478314493e-08,1.2188544940203391e-06,0.0000000000000000e+00,-2.7081687255363981e-07,8.6736173798840355e-18,1.4363257878483355e-17,2.9790984494108371e-14,4.9160133876202661e-03,-1.9023104291340135e-20
4,4.2892495713310857e-04,1.1913220398237358e-04,1.2217542511800463e-04,-1.2045919817182948e-13,1.2045919817182948e-13,0.0000000000000000e+00,2.0103555745419830e-17,-7.5667581832497459e-03,3.3615605846661050e-03,-1.0928318767915852e-02,-7.5667581832497459e-03,0.0000000000000000e+00,-2.6076979255931143e-18,-7.5667581832497433e-03,3.3615605846661050e-03,-1.0928318767915848e-02,0.0000000000000000e+00,-5.1669285905932318e-03,7.5667581832497433e-03,5.1669285905932274e-03,0.0000000000000000e+00,1.6523979739407849e-06,1.1284535576450716e-06,-1.6523979739407849e-06,7.3359325244766997e-07,-2.3859912263884546e-06,-1.6523979739407849e-06,7.3359325244766997e-07,-2.3859912263884551e-06,7.9392807862051252e-23,8.7412444352195746e-23,6.5186044546328344e-07,1.9136073727557247e-11,5.5158666463826418e-08,-2.6555004446832567e-08,2.3594362219416222e-06,0.0000000000000000e+00,-5.2394441629571333e-07,1.5901631863120734e-17,2.8609792490763984e-17,1.7763568394002505e-14,6.7235069961534537e-03,-1.2448422106449600e-20
5,5.7956816600273709e-04,1.6097275718209461e-04,1.5064320886962852e-04,-1.7097434579227411e-13,1.7097434579227411e-13,0.0000000000000000e+00,1.1602147079157546e-17,-1.0029706598979792e-02,4.4587937696483979e-03,-1.4488500368628190e-02,-1.0029706598979794e-02,1.7347234759768071e-18,2.5523361282528928e-19,-1.0029706598979796e-02,4.4587937696483979e-03,-1.4488500368628194e-02,1.7347234759768071e-18,-6.8479589059680527e-03,1.0029706598979796e-02,6.8479589059680449e-03,0.0000000000000000e+00,2.9777919337190183e-06,2.0334341609898555e-06,-2.9777919337190183e-06,1.3226348896634242e-06,-4.3004268233824421e-06,-2.9777919337190183e-06,1.3226348896634242e-06,-4.3004268233824421e-06,-9.7798578551264039e-23,2.1807459981350681e-22,1.1509923262834015e-06,5.1451076201697874e-11,1.2755160354289380e-07,-4.4039508760927262e-08,4.2563873146215155e-06,0.0000000000000000e+00,-9.4435777272916274e-07,1.4456028966473393e-17,3.0058374136326107e-17,9.8069700508555505e-15,8.8486104209884731e-03,-6.5172679153852797e-20
6,7.6609506818767019e-04,2.1277986373943053e-04,1.8652690218493311e-04,-2.6034729927459921e-13,2.6034729927459921e-13,0.0000000000000000e+00,2.9309518067979959e-17,-1.2957086135044043e-02,5.7649407981677659e-03,-1.8722026933211809e-02,-1.2957086135044042e-02,-1.7347234759768071e-18,5.9114355482628973e-18,-1.2957086135044047e-02,5.7649407981677668e-03,-1.8722026933211813e-02,0.0000000000000000e+00,-8.8454496552224631e-03,1.2957086135044047e-02,8.8454496552224666e-03,0.0000000000000000e+00,5.1216195536413161e-06,3.4970556028105424e-06,-5.1216195536413161e-06,2.2761356585113069e-06,-7.3977552121526221e-06,-5.1216195536413161e-06,2.2761356585113069e-06,-7.3977552121526229e-06,4.7732626915730579e-22,3.7986089787422334e-22,1.9336997673120236e-06,1.3006331270120668e-10,2.7455219066083900e-07,-6.7753637225743035e-08,7.3300015749268795e-06,0.0000000000000000e+00,-1.6245639508307737e-06,2.1684043449710089e-17,4.0333616138757679e-17,1.1657341758564144e-14,1.1334062459446577e-02,-6.7328976964899426e-20
7,9.9777717371773728e-04,2.7712864875663898e-04,2.3168210553006709e-04,-1.4377388168895777e-13,1.4377388168895777e-13,0.0000000000000000e+00,2.1562532307879228e-17,-1.6420838229994000e-02,7.3132746830911217e-03,-2.3734112913085123e-02,-1.6420838229994000e-02,0.0000000000000000e+00,-1.5501265403510788e-18,-1.6420838229993996e-02,7.3132746830911234e-03,-2.3734112913085120e-02,-3.4694469519536142e-18,-1.1208168413687892e-02,1.6420838229993996e-02,1.1208168413687911e-02,0.0000000000000000e+00,8.5247892401388516e-06,5.8200878316610203e-06,-8.5247892401388516e-06,3.7911299081482965e-06,-1.2315919148287148e-05,-8.5247892401388516e-06,3.7911299081482965e-06,-1.2315919148287148e-05,9.8254489606743493e-22,-2.2043489552520082e-23,3.1333504489174419e-06,3.1430055633117497e-10,5.5952171849093342e-07,-9.7943440183589706e-08,1.2217975708103558e-05,0.0000000000000000e+00,-2.7047014084778313e-06,3.7585675312830822e-17,7.4578259742081447e-17,9.9920072216264089e-15,1.4218018212205818e-02,-1.4964700615874533e-19
8,1.2894677667439568e-03,3.5814455293811377e-04,2.9169059302621954e-04,-1.2434497875801753e-13,1.2434497875801753e-13,0.0000000000000000e+00,4.8309115607366175e-17,-2.0538549228659449e-02,9.1579664870047144e-03,-2.9696515715664163e-02,-2.0538549228659449e-02,0.0000000000000000e+00,-2.3233550495038253e-17,-2.0538549228659428e-02,9.1579664870047144e-03,-2.9696515715664142e-02,3.4694469519536142e-18,-1.4015860561194273e-02,2.0538549228659428e-02,1.4015860561194294e-02,0.0000000000000000e+00,1.3915142062989070e-05,9.4988938167579880e-06,-1.3915142062989073e-05,6.1933829605398648e-06,-2.0108525023528940e-05,-1.3915142062989070e-05,6.1933829605398648e-06,-2.0108525023528936e-05,-2.6320378298440718e-21,-2.2043489552520082e-23,4.9605580002586691e-06,7.3966676946549799e-10,1.0982083172635288e-06,-1.3387697624820100e-07,1.9974648047280737e-05,0.0000000000000000e+00,-4.4162482462310817e-06,4.3368086899420177e-17,8.8701138272259250e-17,5.7361522938966427e-15,1.7566313016583263e-02,-2.1668574195826280e-19
9,1.6653013630543319e-03,4.6253084222829828e-04,3.7583359631037511e-04,-1.2045919817182948e-13,1.2045919817182948e-13,0.0000000000000000e+00,6.0268851748334442e-17,-2.5495010357760001e-02,1.1384144050754070e-02,-3.6879154408514067e-02,-2.5495010357760001e-02,0.0000000000000000e+00,-3.1580889864899309e-18,-2.5495010357759994e-02,1.1384144050754072e-02,-3.6879154408514067e-02,-3.4694469519536142e-18,-1.7393824053136456e-02,2.5495010357759994e-02,1.7393824053136483e-02,0.0000000000000000e+00,2.2565621188155047e-05,1.5401301180547282e-05,-2.2565621188155058e-05,1.0053590600145433e-05,-3.2619211788300487e-05,-2.2565621188155047e-05,1.0053590600145433e-05,-3.2619211788300487e-05,-7.5914702192788819e-21,-2.2043489552520082e-23,7.7687560125399167e-06,1.7283285796285097e-09,2.1102394259008618e-06,-1.7286683312502538e-07,3.2446344955175461e-05,0.0000000000000000e+00,-7.1643200076077652e-06,8.0953762212251006e-17,1.4829997580041352e-16,6.8463753185217992e-15,2.1482203274012200e-02,-3.6564634869638148e-19
