node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-9.8024957272832403e-01,1.1470374359092485e+01,7.4532369039052888e+00,3.2062120400322330e-01,-6.2614730092433487e-16,-1.2509849592170969e-03,3.1771867038329904e-16,-4.0680409930849143e-05,2.9774680292061039e+01,1.7864808175333035e+01,-9.6413543815287994e-11,2.5320186495358264e-12,-2.0764220568815226e-05,sliding
1,-8.0261952033015016e-01,1.1203929280495226e+01,7.9147333174624279e+00,2.8004254288391583e-01,8.4286705700858700e-17,-1.8693770638670447e-03,3.8799191181930481e-16,-6.4473800769074263e-05,4.1759145833976369e+01,2.5055487500389045e+01,-3.2258640203508548e-12,1.2712549150227624e-12,-4.6154928836346106e-05,sliding
2,-5.6443442654209974e-01,1.0846651639813150e+01,8.5335563435321191e+00,4.1075065001042162e-03,2.9773973406444231e-15,-2.3303247914467080e-03,1.2951294170382638e-15,-8.0637274849813814e-05,3.9126236636394879e+01,2.3475741981746229e+01,9.0697227506097988e-11,1.9788004886202533e-12,-5.4086281671010955e-05,sliding
3,-3.1227054042446700e-01,1.0468405810636700e+01,9.1886973374167482e+00,1.4786103928526681e-01,1.7237858000125706e-15,-2.5613537194045521e-03,4.8094361338509722e-16,-9.1510750209206738e-05,4.1868228929841500e+01,2.5120937358023685e+01,-1.1878498185069475e-10,3.0752156039318974e-12,-6.5681023531178156e-05,sliding
4,-1.3732315540276041e-01,1.0205984733104140e+01,9.6432239766801136e+00,2.0989279711154316e-01,4.2387968135493281e-15,-2.6413234484502701e-03,1.6266729886097332e-15,-9.6829534794441862e-05,4.2672218708720777e+01,2.5603331225019144e+01,2.1332269284357608e-10,5.0140697231987925e-12,-7.0833104334474604e-05,sliding
5,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,-2.2282744715490718e-15,-2.6776158312980690e-03,-1.6565097241767659e-15,-9.9336257687966396e-05,3.5115790494796272e+01,2.1069474296909956e+01,-3.2194691357290139e-11,1.2821210693502801e-12,-5.9798935088795206e-05,sliding
6,1.5252770535720828e-01,9.7712084419641876e+00,1.0396278602860871e+01,1.8873112251704155e-01,-2.1076890233118206e-15,-2.6267644665621663e-03,-2.4670173401960399e-16,-9.6266513157678544e-05,4.2707918476541153e+01,2.5624751085786023e+01,1.3866596759726235e-10,4.4920262084186166e-12,-7.0480155358915934e-05,sliding
7,3.1227054042446833e-01,9.5315941893632967e+00,1.0811302662583255e+01,1.4786103928527075e-01,-1.5315403230516549e-15,-2.5498615968761965e-03,-1.9510556907055554e-17,-9.0807604427416917e-05,4.1247410862197896e+01,2.4748446517602495e+01,-2.8375879423947481e-10,7.7109315798820029e-12,-6.4209918330386610e-05,sliding
8,5.6443442654210108e-01,9.1533483601868486e+00,1.1466443656467883e+01,4.1075065001072927e-03,7.2687889692686967e-16,-2.3367445120359488e-03,6.5294559781312817e-16,-7.9713562697686325e-05,4.0631926043218506e+01,2.4379155625976743e+01,-4.5641712631550035e-11,7.0418807320691098e-13,-5.5524267157369983e-05,sliding
9,7.8938677500965992e-01,8.8159198374855094e+00,1.2050887001709510e+01,2.7257544699119912e-01,1.5796384280219294e-15,-1.8664153029175634e-03,-7.1128405899553715e-16,-6.3587278192513472e-05,3.1038258571187686e+01,1.8622955142606198e+01,1.0641443282111140e-10,2.7242418806132771e-12,-3.3833800840559990e-05,sliding
10,9.9422895501773589e-01,8.5086565674733965e+00,1.2583082596670245e+01,1.0695220860122999e-01,6.0429092285652075e-15,-9.4102821066471647e-04,-3.8105142972862148e-16,-3.1998566340896639e-05,5.4138792215988047e+01,3.2483275329086254e+01,5.0657433803280583e-10,1.6417581429178964e-11,-2.9697664016782216e-05,sliding
