case,n_elem_target,n_elem_actual,n_c,h_eff,err_l2,ref_l2,rel_l2,err_node_l2,rel_node_l2,gap_shift_rel,adjoint_rel,patch_all_inf,soc_res_inf,n_sliding,n_sticking,n_open,n_other_active,contact_ok
embedded,20,1028,8,6.237829e-01,1.193324e-03,4.423753e-03,0.269754,1.369991e-03,0.278396,4.275198e-01,4.849385e-16,8.881784e-16,8.387920e-12,8,0,0,0,1
embedded,30,2326,11,4.146915e-01,1.134369e-03,4.438569e-03,0.255571,1.392620e-03,0.237969,5.229123e-01,6.774336e-16,6.661338e-16,1.407781e-11,11,0,0,0,1
embedded,40,4284,15,3.055662e-01,5.473248e-04,4.448553e-03,0.123034,8.690055e-04,0.123941,5.467645e-01,5.965130e-16,6.661338e-16,8.946917e-12,15,0,0,0,1
embedded,50,6644,19,2.453665e-01,1.167871e-03,4.454040e-03,0.262205,2.161920e-03,0.276215,5.087459e-01,8.225706e-16,4.440892e-16,1.751377e-12,18,0,1,0,1
embedded,60,9462,22,2.056073e-01,4.925488e-04,4.456122e-03,0.110533,9.460275e-04,0.110761,5.560295e-01,6.463253e-16,7.771561e-16,3.246810e-11,22,0,0,0,1
embedded,70,13070,25,1.749412e-01,5.024449e-04,4.456989e-03,0.112732,1.031369e-03,0.113092,5.996211e-01,9.814015e-16,6.661338e-16,8.781975e-11,25,0,0,0,1
conforming,20,1016,5,6.274558e-01,1.021700e-03,4.406457e-03,0.231864,9.213061e-04,0.209069,3.117808e-15,2.507446e-16,2.220446e-16,3.693397e-11,5,0,0,0,1
conforming,30,2410,8,4.074004e-01,6.765656e-04,4.436556e-03,0.152498,7.416104e-04,0.136331,6.364337e-15,3.883773e-16,1.554312e-15,1.316373e-11,8,0,0,0,1
conforming,40,4170,11,3.097148e-01,4.732184e-04,4.447113e-03,0.106410,5.944938e-04,0.094387,5.646808e-15,1.798111e-16,1.332268e-15,4.550249e-12,11,0,0,0,1
conforming,50,6632,14,2.455883e-01,4.091088e-04,4.452023e-03,0.091893,5.978850e-04,0.084797,7.957672e-15,5.529563e-16,1.110223e-15,1.185533e-11,14,0,0,0,1
conforming,60,9498,17,2.052173e-01,2.694562e-04,4.454705e-03,0.060488,4.220465e-04,0.054606,1.213716e-14,6.708873e-16,6.661338e-16,9.917252e-12,17,0,0,0,1
conforming,70,12938,20,1.758314e-01,2.212810e-04,4.456332e-03,0.049655,3.864612e-04,0.046274,2.062544e-14,8.145446e-16,1.332268e-15,1.513845e-11,20,0,0,0,1
