N,node,s_true,x_sur,y_sur,x_hat,y_hat,delta_norm,delta_over_h,delta_n,delta_t,delta_t_frac,normal_x,normal_y,abs_err,signed_err,class,plus_scalar_dof,plus_selected_elem,plus_selected_loc,plus_parent_elem,plus_selected_is_parent,plus_bary_min_selected,plus_bary_min_parent,plus_inside_selected,plus_inside_parent,minus_scalar_dof,minus_selected_elem,minus_selected_loc,minus_parent_elem,minus_selected_is_parent,minus_bary_min_selected,minus_bary_min_parent,minus_inside_selected,minus_inside_parent
60,0,0.002640105494514433,9.991940873172931,10.00449265466464,9.996039841758229,10.00685919528076,0.004733081232243072,0.014199243696729216,-0.004733081232243073,-5.369638702323367e-16,1.1344911356568081e-13,-0.8660254037844387,-0.5,0.0002566063772367769,0.0002566063772367769,sliding,240,1205,0,3757,0,0.000936789722109562,-0.01649047010561933,1,0,4852,2828,0,2828,1,-0.01485348642044191,-0.01485348642044191,0,0
60,1,0.6098765772635382,9.050230465356174,11.56432473983859,9.085185134104693,11.58450582724998,0.040362174822782725,0.12108652446834818,-0.04036217482278273,-3.967862265712415e-16,9.830645358269263e-15,-0.8660254037844387,-0.5,0.00015446352061450298,0.00015446352061450298,sliding,305,211,0,6361,0,-0.03306978877397657,-0.10019597027632642,0,0,4853,39,0,5701,0,-0.15097205600994643,-0.14234276486669042,0,0
60,2,-0.552469201859161,10.83919519295416,8.570700116080538,10.828703802788741,8.56464290914436,0.012114413872354826,0.03634324161706448,0.012114413872354826,6.613507729810488e-16,5.459205702805446e-14,-0.8660254037844387,-0.5,0.00021031849704653146,0.00021031849704653146,sliding,346,6322,0,7942,0,-0.0473795437170854,-0.04200518344190619,0,0,4854,424,0,6519,0,-0.02427647968202642,-0.031279709369783394,0,0
60,3,0.8418546200629999,8.72551034555047,12.18044300399559,8.7372180699055,12.187202461803565,0.01351891561594986,0.04055674684784958,-0.01351891561594986,3.8943079035918036e-16,2.8806362982229353e-14,-0.8660254037844387,-0.5,0.00010546952643924004,0.00010546952643924004,sliding,670,2619,0,6284,0,-0.014474066431175459,-0.02226437083404796,0,0,4855,293,0,1772,0,-0.043656190192948585,-0.047983598530808365,0,0
60,4,0.39951401164544453,9.420999634184662,11.04967111594677,9.400728982531833,11.037967849758362,0.0234065323768198,0.0702195971304594,0.0234065323768198,1.165275129618097e-15,4.978418463950279e-14,-0.8660254037844387,-0.5,0.00025199097646212525,0.00025199097646212525,sliding,877,2507,0,2507,1,-0.06939729418740923,-0.06939729418740923,0,0,4856,2495,0,2495,1,-0.0005687794912216841,-0.0005687794912216841,0,0
60,5,0.20796022546817694,9.721133848461646,10.55939190527018,9.688059661797734,10.540296514696543,0.038190781147274984,0.11457234344182496,0.03819078114727499,-2.9255927433535855e-17,7.660468457221736e-16,-0.8660254037844387,-0.5,0.0002350664298623674,0.0002350664298623674,sliding,891,2508,0,2508,1,-0.10679370571368628,-0.10679370571368628,0,0,4857,4327,0,4327,1,0.005915832601228786,0.005915832601228786,1,1
60,6,-0.16095789430015173,10.19642917405706,9.555833934904213,10.241436841450227,9.581819123789254,0.05197037777008341,0.15591113331025025,-0.05197037777008341,-4.546480486710592e-16,8.748215198327383e-15,-0.8660254037844387,-0.5,0.00024285917044933108,0.00024285917044933108,sliding,1298,7333,0,7333,1,0.055263830878375296,0.055263830878375296,1,1,4858,2668,0,5681,0,-0.18374353939041116,-0.15981406457063685,0,0
60,7,-0.3977325612246424,10.56548633367667,8.948697679240121,10.596598841836963,8.96666049420163,0.03592562992301856,0.10777688976905568,-0.035925629923018565,-6.046207258624916e-16,1.6829787735331934e-14,-0.8660254037844387,-0.5,0.00024376518424153604,0.00024376518424153604,sliding,1320,7305,0,7305,1,0.022157500695587456,0.022157500695587456,1,1,4859,1435,0,5995,0,-0.09922551972006448,-0.09715416416431794,0,0
60,8,-0.7061567430493187,10.99929044592387,8.130741893815205,11.059235114573978,8.16535096439683,0.06921814116324562,0.20765442348973687,-0.06921814116324562,1.1122256914771715e-15,1.6068413175876444e-14,-0.8660254037844387,-0.5,0.0001378051126466591,0.0001378051126466591,sliding,1375,7409,0,7409,1,-0.06853504301571431,-0.06853504301571431,0,0,4860,425,0,7144,0,-0.15134229878888342,-0.30814064556535264,0,0
60,9,-0.8971983670657084,11.32716353568859,7.658251912137186,11.345797550598563,7.669010265661543,0.021516707048713894,0.06455012114614168,-0.021516707048713894,-5.13841309697088e-16,2.3881038512712453e-14,-0.8660254037844387,-0.5,0.00012175977190326498,0.00012175977190326498,sliding,1618,432,1,1418,0,0.002689814376205385,-0.050363010494634264,1,0,4861,763,1,1548,0,-0.03598502341516398,-0.05964893213497929,0,0
