case,N,n_elem_actual,n_c_solve,h_eff,rel_l2,err_l2,rel_node_l2,gap_shift_rel,delta_over_h_mean,delta_over_h_max,delta_over_h_p95,cos_normal_mean,cos_normal_min,cos_tangent_mean,cos_tangent_max,tip_exact,near_tip_95,near_tip_90,spacing_cv,tangent_dominated_count,mixed_direction_count,normal_pos_count,normal_neg_count,soc_res_inf,max_friction_power_pos,t_total_s
scikit_quad,20,400,8,1.0,0.433884,0.00192056,0.436304,0.7655449,0.33018949548180604,0.6415159638544502,0.5919853765053924,0.4802460824144975,0.36172257690149384,0.8754911719508097,0.93228578094903,1.0,1.0,1.0,0.21401963773159435,7.0,0.0,4.0,3.0,5.528171e-12,0.0,8.23
scikit_quad,30,900,13,0.6666667,0.451457,0.002006974,0.431865,0.7334708,0.3283037840331634,0.6339745962155621,0.6339745962155598,0.4999999999999991,0.4999999999999901,0.8660254037844392,0.8660254037844443,0.0,2.0,2.0,0.2319114280238296,12.0,0.0,6.0,6.0,8.237855e-13,0.0,56.098
scikit_quad,40,1600,17,0.5,0.404056,0.001798951,0.400668,0.7541977,0.3329561198731991,0.6339745962155608,0.6339745962155608,0.4999999999999968,0.499999999999983,0.8660254037844405,0.8660254037844484,0.0,2.0,2.0,0.2431525571475532,16.0,0.0,8.0,8.0,4.009755e-12,0.0,80.564
scikit_quad,50,2500,21,0.4,0.237963,0.001060176,0.236901,0.765874,0.35201451644825066,0.6339745962155633,0.6339745962155613,0.49999999999999967,0.4999999999999832,0.8660254037844387,0.8660254037844483,0.0,2.0,2.0,0.24918190152254405,20.0,0.0,10.0,10.0,2.217856e-12,0.0,114.007
scikit_quad,60,3600,25,0.3333333,0.303359,0.001352076,0.296564,0.7629162,0.35339660402182765,0.8301270189221923,0.6339745962155648,0.520464351652921,0.4999999999999811,0.8354738526307592,0.8660254037844494,1.0,2.0,2.0,0.2586956102876629,23.0,1.0,11.0,13.0,7.707538e-12,0.0,149.663
scikit_quad,70,4900,29,0.2857143,0.236376,0.001053783,0.23569,0.7445288,0.328824082236629,0.6339745962155644,0.6196152422706602,0.500000000000001,0.49999999999996875,0.866025403784438,0.8660254037844568,0.0,2.0,2.0,0.2385193821067347,28.0,0.0,14.0,14.0,4.400554e-12,0.0,167.022
scikit_quad,80,6400,33,0.25,0.193433,0.0008624541,0.19361,0.7603573,0.3414530058312466,0.6698729810778071,0.6483339501604596,0.4999999999999907,0.49999999999992395,0.8660254037844439,0.8660254037844826,0.0,2.0,4.0,0.2431525571475516,32.0,0.0,16.0,16.0,3.329189e-11,3.321194e-21,255.735
scikit_tri,20,800,9,0.7071068,0.288379,0.001277149,0.31773,0.6482325,0.38490017945975025,0.7320508075688771,0.7320508075688771,0.49999999999999833,0.49999999999999295,0.8660254037844396,0.8660254037844428,0.0,0.0,2.0,0.26794919243112175,8.0,0.0,4.0,4.0,2.906934e-13,0.0,42.251
scikit_tri,30,1800,13,0.4714045,0.108422,0.0004819945,0.09693,0.5598942,0.3283037840331634,0.6339745962155621,0.6339745962155598,0.4999999999999991,0.4999999999999901,0.8660254037844392,0.8660254037844443,0.0,2.0,2.0,0.2319114280238296,12.0,0.0,6.0,6.0,1.59428e-11,0.0,62.044
scikit_tri,40,3200,17,0.3535534,0.168426,0.0007498713,0.165928,0.5723751,0.3329561198731991,0.6339745962155608,0.6339745962155608,0.4999999999999968,0.499999999999983,0.8660254037844405,0.8660254037844484,0.0,2.0,2.0,0.2431525571475532,16.0,0.0,8.0,8.0,6.713889e-12,0.0,75.649
scikit_tri,50,5000,21,0.2828427,0.191534,0.0008533222,0.186494,0.5848929,0.35201451644825066,0.6339745962155633,0.6339745962155613,0.49999999999999967,0.4999999999999832,0.8660254037844387,0.8660254037844483,0.0,2.0,2.0,0.24918190152254405,20.0,0.0,10.0,10.0,2.572572e-12,0.0,117.994
scikit_tri,60,7200,26,0.2357023,0.173283,0.0007723244,0.173109,0.6213772,0.36041590328492046,0.8301270189221923,0.6339745962155645,0.5196457775868041,0.4999999999999811,0.8366959146769066,0.8660254037844494,1.0,3.0,3.0,0.25482528158377454,24.0,1.0,11.0,14.0,8.67717e-11,0.0,184.076
scikit_tri,70,9800,29,0.2020305,0.117835,0.000525318,0.117594,0.5622239,0.328824082236629,0.6339745962155644,0.6196152422706602,0.500000000000001,0.49999999999996875,0.866025403784438,0.8660254037844568,0.0,2.0,2.0,0.2385193821067347,28.0,0.0,14.0,14.0,1.804334e-11,0.0,217.243
scikit_tri,80,12800,34,0.1767767,0.124111,0.0005533801,0.125621,0.5932402,0.3518853416216991,0.6961524227066318,0.669872981077806,0.49999999999999095,0.49999999999992395,0.8660254037844438,0.8660254037844826,0.0,2.0,4.0,0.26459541686096044,33.0,0.0,17.0,16.0,9.500178e-12,0.0,260.963
