node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-9.9643305273689464e-01,1.1444649579105342e+01,7.4111909894781096e+00,1.2128310932256416e-02,1.8511554566027448e-15,-6.3376327605909135e-04,9.7816381188463308e-16,-1.4325691431751304e-05,5.5285060421847540e+01,3.3171036252504692e+01,6.0383342770364834e-10,2.6792714841773909e-11,-1.3577086566423382e-05,sliding
1,-9.0553170039904185e-01,1.1308297550598562e+01,7.6473596305669318e+00,2.1784563140509212e-02,6.6962172960698497e-16,-1.0958276813318132e-03,-6.4503591812488381e-16,-2.5230043420139738e-05,3.5879874398901080e+01,2.1527924639173285e+01,1.6736123598093400e-10,3.0410766325205584e-12,-1.5518584954052515e-05,sliding
2,-7.9399059240076508e-01,1.1140985888601147e+01,7.9371519298452453e+00,1.1738231345816873e-02,3.9876090287477720e-15,-1.4800733779059163e-03,7.4894992009404138e-16,-3.5116167165240879e-05,3.9719783150321682e+01,2.3831869890087759e+01,1.0524914273446484e-10,2.5022589670743448e-12,-2.3910969340588357e-05,sliding
3,-7.1449007638265249e-01,1.1021735114573978e+01,8.1437003293022165e+00,2.5916870974023162e-02,3.7077876550376959e-16,-1.6926647148326306e-03,5.7679979092702463e-16,-4.1489659380161565e-05,4.6039066970594611e+01,2.7623440182590908e+01,-2.3414159500134701e-10,6.7920150180167182e-12,-3.2745346402398992e-05,sliding
4,-6.4689613334486484e-01,1.0920344200017297e+01,8.3193145447402639e+00,1.4355972874876488e-01,1.0341109516929850e-15,-1.8843886613760903e-03,2.4608001183631933e-17,-4.6532026260857266e-05,3.6160281001984430e+01,2.1696168601141299e+01,4.9357851139575359e-11,2.9936348080901491e-12,-2.8844762488808394e-05,sliding
5,-5.6080253519249457e-01,1.0791203802788742e+01,8.5429922740497499e+00,5.5415684061576397e-02,-1.2854368381991519e-15,-2.0582405281078038e-03,-1.0304011807747530e-15,-5.1725032080358007e-05,4.2597790220247624e+01,2.5558674132106344e+01,4.2231107499901555e-11,8.2784789880058009e-13,-3.7772092554703339e-05,sliding
6,-4.8468262759760994e-01,1.0677023941396413e+01,8.7407575951824317e+00,1.7200566724249908e-01,-1.9428902930940239e-16,-2.1841207858829203e-03,4.3252382198825240e-16,-5.5787627750340540e-05,3.8589337898775007e+01,2.3153602739476256e+01,-2.1125146076883539e-10,5.4465732987576957e-12,-3.6905273448833326e-05,sliding
7,-4.0606589455797548e-01,1.0559098841836963e+01,8.9450098591070208e+00,7.3756402662021187e-03,1.7768176253235568e-15,-2.3015202794135427e-03,-8.3228440957670846e-16,-5.9476352584469390e-05,3.6070102671952633e+01,2.1642061603148612e+01,2.2968293933445239e-11,3.3616751633527905e-13,-3.6776882473247825e-05,sliding
8,-2.8921684257589630e-01,1.0383825263863844e+01,9.2485926013808477e+00,1.4384991136074460e-01,6.0888794006785929e-16,-2.3573194638866202e-03,-2.9450149729905867e-16,-6.1703788249665927e-05,3.9202918948975494e+01,2.3521751369538180e+01,-1.5288392773982196e-10,4.5415306445777700e-12,-4.1468033307636383e-05,sliding
9,-1.6929122763348470e-01,1.0203936841450226e+01,9.5601684886946448e+00,8.6691075808611948e-03,9.5192950744227289e-17,-2.3933858242628932e-03,8.6838482143978873e-16,-6.3624748943430899e-05,4.5811208987744941e+01,2.7486725392592366e+01,5.4598103815806098e-11,2.1638454251980844e-12,-4.9966742925163326e-05,sliding
10,-9.9949093473373218e-02,1.0099923640210060e+01,9.7403246379004997e+00,1.4778388875416543e-01,2.5866895431159165e-15,-2.4464774633133550e-03,1.4889312435843174e-15,-6.4763441971743522e-05,3.9659498883149915e+01,2.3795699329865108e+01,2.4840574042173102e-11,1.5999775117969181e-12,-4.4031182649336430e-05,sliding
11,-5.6932278388192037e-03,9.9585398417582276e+00,9.9852085601861500e+00,3.8568188956980033e-02,-5.5119483196447439e-16,-2.4607951404020897e-03,-1.1913658064306358e-15,-6.5672743250037543e-05,3.5711255904641455e+01,2.1426753542966011e+01,-1.8113865962732234e-10,4.3990849182709252e-12,-4.0204390974543976e-05,sliding
12,9.5345515231282985e-02,9.8069817271530741e+00,1.0247714914981621e+01,9.7582618256682824e-02,-9.6492079865433066e-16,-2.4320319513420124e-03,1.5264973665532824e-16,-6.4759182822861106e-05,4.2727856401069914e+01,2.5636713840692408e+01,-5.0459192380003515e-11,2.0077539622667133e-12,-4.7434646816764951e-05,sliding
13,1.9962689213484364e-01,9.6505596617977343e+00,1.0518645879601932e+01,8.1492051336496549e-02,1.0018028073766061e-16,-2.3883578537400034e-03,7.4025478278334116e-16,-6.3360619515627007e-05,3.7543480710504397e+01,2.2526088426468210e+01,-1.6557066828681855e-10,5.7459291710912164e-12,-4.0779054798994895e-05,sliding
