node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1550000000000001e+01,7.4019237886466840e+00,1.7211181199249503e-01,2.9594382500164329e-15,-1.0949710786063442e-03,1.7562042315191762e-16,-3.3294922073973771e-05,3.0482114507909461e+01,1.8289268704628899e+01,1.1677769862217247e-10,3.3360912659895992e-12,-1.7398279323159612e-05,sliding
1,-9.7976638607022759e-01,1.1519649579105343e+01,7.4544922596673331e+00,9.8730851310701973e-02,-4.9499115083479167e-15,-1.1906807157551723e-03,-4.1072966425539925e-16,-3.5984080456003513e-05,4.8310041273196205e+01,2.8986024764097525e+01,-1.7980283928409335e-10,4.8722202930539315e-12,-2.9801012777457018e-05,sliding
2,-8.8886503373237491e-01,1.1383297550598563e+01,7.6906609007561544e+00,6.4817977237935906e-02,2.0011762783881349e-15,-1.5333735866584468e-03,2.6384737493792554e-16,-4.6848965099332044e-05,3.9996277267434287e+01,2.3997766360334086e+01,1.2648371239265543e-10,3.0094318141867601e-12,-3.2122014819349031e-05,sliding
3,-7.7732392573409825e-01,1.1215985888601148e+01,7.9804532000344679e+00,9.8340771724261991e-02,-2.2412627309620348e-15,-1.8305373342580346e-03,3.7564894771191515e-16,-5.7581196796960709e-05,3.7334727205043500e+01,2.2400836323017497e+01,8.6011198163760127e-12,1.5985583829959612e-14,-3.6853341849490753e-05,sliding
4,-6.9782340971598567e-01,1.1096735114573979e+01,8.1870015994914400e+00,1.1251941135246872e-01,2.7057555011305052e-15,-2.0150978288921229e-03,6.6986753600659088e-17,-6.5739545283871741e-05,4.7524978619227426e+01,2.8514987171492290e+01,4.4163783741169027e-11,3.0677074089992070e-12,-5.3558922583695405e-05,sliding
5,-6.3022946667819790e-01,1.0995344200017298e+01,8.3626158149294874e+00,5.6957188370319330e-02,-5.5164206536062466e-16,-2.1671055775732842e-03,1.7208321356418366e-17,-7.1016817205342254e-05,3.6360268585702066e+01,2.1816161151374477e+01,4.6760817440372193e-11,7.5585024026311595e-13,-4.4266123674555724e-05,sliding
6,-5.4413586852582752e-01,1.0866203802788743e+01,8.5862935442389716e+00,3.1186856316868277e-02,9.5280790356272834e-16,-2.2965272142487260e-03,-4.0874506605998243e-16,-7.6693924149354514e-05,4.1245712746015535e+01,2.4747427647656217e+01,-4.6895820560166612e-11,1.5799912495711894e-12,-5.4227923968599562e-05,sliding
7,-4.6801596093094289e-01,1.0752023941396414e+01,8.7840588653716551e+00,8.5403126864053533e-02,-1.4823433121679469e-15,-2.3924312803968819e-03,-4.9634436643207491e-17,-8.1010787941311168e-05,3.8264177174199524e+01,2.2958506304503302e+01,1.6409984482379514e-11,7.5105848284133804e-13,-5.3139619590953502e-05,sliding
8,-3.8939922789130865e-01,1.0634098841836964e+01,8.9883111292962425e+00,7.9226900112242551e-02,1.7739173845121581e-15,-2.4696112697845086e-03,8.2077492588941703e-17,-8.4537411649512553e-05,3.8376086715065398e+01,2.3025652029053134e+01,-1.3894663197788759e-11,4.5372819722225809e-14,-5.5615114973671394e-05,sliding
9,-3.1010011907594059e-01,1.0515150178613911e+01,9.1943362574909688e+00,3.0960263583459484e-02,-2.0426368929626904e-16,-2.5236393770292410e-03,4.0435658836025790e-17,-8.7114826792783847e-05,4.3736043026827218e+01,2.6241625816120262e+01,-2.3931079340400174e-11,4.4436579284051502e-13,-6.5315276792353192e-05,sliding
10,-2.3871301335127215e-01,1.0408069520026910e+01,9.3798053986715928e+00,2.1873572660513634e-02,2.0554538044002799e-15,-2.5724037648018100e-03,-1.9170049662259325e-17,-8.9263217201209874e-05,3.5324913955152333e+01,2.1194948373136238e+01,-4.4838799340141122e-11,1.6113503628463558e-12,-5.4055122291419711e-05,sliding
11,-1.5262456096681798e-01,1.0278936841450228e+01,9.6034697588838664e+00,9.5271647959307398e-02,-1.3789780334235983e-16,-2.5907462645619063e-03,3.6921742654341325e-16,-9.0418014994557449e-05,4.2345418856898362e+01,2.5407251314019987e+01,1.1903011909453198e-10,2.2709462313202285e-12,-6.5636378008044238e-05,sliding
12,-8.3282426806706500e-02,1.0174923640210061e+01,9.7836259080897214e+00,6.1181348375720764e-02,-8.5868812060851951e-16,-2.6122481758481812e-03,2.2752914325850290e-16,-9.1024708102356239e-05,3.9029357887182279e+01,2.3417614732297370e+01,1.1997514093309292e-11,6.0689903150141970e-13,-6.0902329870308722e-05,sliding
13,1.0973438827847737e-02,1.0033539841758229e+01,1.0028509830375372e+01,4.8034351421464637e-02,-1.4100964048757020e-15,-2.6161057227766923e-03,3.5221154606138866e-16,-9.1172423299383623e-05,3.9996991397343990e+01,2.3998194838467558e+01,-6.1163518694229424e-11,1.8275261180912956e-12,-6.2513530806681354e-05,sliding
14,1.2030953658926191e-01,9.8695356951161077e+00,1.0312573345011502e+01,1.1522341306287451e-01,-1.5699247457590104e-16,-2.5581201333788293e-03,2.2527434155291196e-16,-9.0561292037881781e-05,4.1754015481572914e+01,2.5052409288859266e+01,8.4479978568197112e-11,2.2807709339206909e-12,-6.4822244396026458e-05,sliding
15,2.1629355880151069e-01,9.7255596617977353e+00,1.0561947149791155e+01,5.1104890419490087e-03,-4.9703345836181307e-16,-2.5085597709840466e-03,4.8414529204660007e-16,-8.9237048711127620e-05,4.0931562011911716e+01,2.4558937207144844e+01,2.1849189124623081e-12,1.3056533259111698e-13,-6.2616202167071683e-05,sliding
16,3.1783311091973343e-01,9.5732503336204005e+00,1.0825754644660979e+01,1.6151080699252318e-01,-1.8877122430640963e-15,-2.4459452185204532e-03,-1.0889709679785461e-16,-8.6798737892437871e-05,3.9900264385675534e+01,2.3940158631459745e+01,-5.4424020845544874e-11,1.7683873172564531e-12,-5.9370730118727388e-05,sliding
17,4.0784734497877784e-01,9.4382289825318342e+00,1.1059618484852972e+01,1.9894737812403307e-02,2.1688380258400031e-15,-2.4027630975243207e-03,3.4196414146550613e-16,-8.4301193447119195e-05,3.4188576936766559e+01,2.0513146162082649e+01,-2.2712498548571602e-11,2.4897574457414117e-13,-4.9408077223393145e-05,sliding
18,5.0422934114049078e-01,9.2936559882892649e+00,1.1310026256283464e+01,1.8705553252907017e-01,3.1743147978824615e-15,-2.2289823650651045e-03,4.6329314083021211e-16,-7.7801356842911810e-05,4.0008301170815535e+01,2.4004980702414681e+01,7.4638961677919724e-11,1.5755167901366559e-12,-5.3360573418165040e-05,sliding
19,5.5244412558632194e-01,9.2213338116205179e+00,1.1435291940787707e+01,8.9110930698407836e-02,-3.5657461079211992e-15,-2.0886988012605518e-03,2.7400668810729362e-16,-7.2511920383001581e-05,4.2320703689528919e+01,2.5392422213949480e+01,-2.3213075905914593e-10,6.6281172431401139e-12,-5.2607237083127584e-05,sliding
20,6.1820991059687147e-01,9.1226851341046942e+00,1.1606156462344591e+01,8.3663445012005830e-02,2.4482229074545695e-15,-1.9831022413935189e-03,-1.8519697765357473e-16,-6.7421545450483964e-05,3.9377883223088034e+01,2.3626729933925567e+01,-7.2748918000797858e-11,1.8436404095493577e-12,-4.5512875602470643e-05,sliding
21,7.4487277382639938e-01,8.9326908392604025e+00,1.1935236234163128e+01,6.1366623687424668e-02,6.8499148125167282e-16,-1.6832365915895539e-03,8.3209128606473448e-17,-5.5337713963938645e-05,4.4599826116782019e+01,2.6759895670188843e+01,-1.1963408041992807e-10,2.2034170709585900e-12,-4.2309470065764299e-05,sliding
