node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1500000000000000e+01,7.3519237886466833e+00,1.7141563312766431e-01,1.4916439466880059e-02,-1.1253205533317599e-03,6.1510416550418249e-06,-3.0955955843319185e-05,7.7715611723760958e-15,-3.8857805861880479e-15,7.7715611723760958e-16,2.4825190014774487e-16,3.4368014926532615e-21,open
1,-9.7366596267382022e-01,1.1460498944010730e+01,7.4203416245727212e+00,3.0429581121478439e-02,-1.4666549543347550e-15,-1.2451307284380125e-03,-5.6134567480436992e-17,-3.6577125532126380e-05,5.1517546968466142e+01,3.0910528181125283e+01,-4.5599080067404429e-11,1.5348469687999440e-12,-3.2303379129867134e-05,sliding
2,-8.8276461033596731e-01,1.1324146915503951e+01,7.6565102656615434e+00,3.4832929512871882e-03,2.6592207411291066e-15,-1.5661673103327058e-03,-3.1028172110640628e-16,-4.6561633348668978e-05,3.7849310532760526e+01,2.2709586319589544e+01,6.6769700879376614e-11,1.8751582532589091e-12,-3.0211298048933637e-05,sliding
3,-7.7122350233769066e-01,1.1156835253506536e+01,7.9463025649398569e+00,3.0039501535038898e-02,2.5569504299644077e-16,-1.8512625069046478e-03,2.1733171360650838e-16,-5.6201308146552077e-05,3.8537304174315942e+01,2.3122382504649096e+01,-5.9532823115659994e-11,9.7655753114673371e-13,-3.7128804120749385e-05,sliding
4,-6.9172298631957807e-01,1.1037584479479367e+01,8.1528509643968281e+00,4.4218141163245184e-02,-3.7357270055160541e-15,-2.0085804737861200e-03,-4.6976447254723497e-17,-6.2729933892880673e-05,4.5479572380869620e+01,2.7287743428481853e+01,3.9918290895002428e-11,1.4062940996412819e-12,-4.8907381181558734e-05,sliding
5,-6.2412904328179053e-01,1.0936193564922686e+01,8.3284651798348754e+00,1.2525845855954287e-01,7.7631897478992308e-17,-2.1643522335543170e-03,-2.0613054991201751e-16,-6.7887940337414809e-05,3.7110686456483251e+01,2.2266411873886792e+01,3.1583624604536453e-12,1.3038103512384131e-13,-4.3189166880649459e-05,sliding
6,-5.3803544512942025e-01,1.0807053167694130e+01,8.5521429091443597e+00,3.7114413872355256e-02,-2.4219562199954809e-15,-2.3054650748552921e-03,-4.4591414233492201e-17,-7.3451897390929306e-05,4.2012687374932320e+01,2.5207612424965472e+01,-6.0822458181064576e-12,5.0062947846674447e-14,-5.2901341751682238e-05,sliding
7,-4.6191553753453563e-01,1.0692873306301804e+01,8.7499082302770432e+00,1.5370439705327554e-01,-1.2802259252708836e-15,-2.4126821522541630e-03,1.7594907193545228e-16,-7.7817479727469870e-05,3.8575560836601056e+01,2.3145336502006131e+01,-4.5499604084398015e-11,1.7784849758406925e-12,-5.1460335829438015e-05,sliding
8,-3.8329880449490139e-01,1.0574948206742352e+01,8.9541604942016306e+00,1.0925629923019016e-02,-2.8712839237849811e-15,-2.5202200191808874e-03,1.2645693682738351e-16,-8.1785308949184449e-05,3.6504091349560049e+01,2.1902454809716509e+01,1.9518608951329952e-11,4.1964961756160868e-14,-5.1179972381663306e-05,sliding
9,-2.6644975251282210e-01,1.0399674628769233e+01,9.2577432364754575e+00,1.6215118154996574e-01,1.7937040741600185e-15,-2.5526967609475625e-03,5.3800144677804140e-17,-8.3945165973794018e-05,3.8713924042366905e+01,2.3228354425384243e+01,3.5900171724279062e-11,1.9609471119477704e-13,-5.5711659072485514e-05,sliding
10,-1.4652413757041072e-01,1.0219786206355616e+01,9.5693191237892545e+00,2.6970377770083868e-02,4.0776099744263557e-15,-2.5663520286424760e-03,-2.9956000452984095e-16,-8.5562073407611727e-05,4.5395659920085485e+01,2.7237395952028820e+01,2.2470914018413168e-11,1.3834332572560856e-12,-6.6585373482276464e-05,sliding
11,-7.7182003410299238e-02,1.0115773005115448e+01,9.7494752729951095e+00,1.2948261856494431e-01,1.6502641267401863e-15,-2.5990069845681445e-03,-9.8987446589689741e-17,-8.6705596648488744e-05,4.0191879392649462e+01,2.4115127635536098e+01,5.3578474989990355e-11,1.0013160819625074e-12,-5.9740472282674768e-05,sliding
