node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-9.1163212379544944e-01,1.1367448185693174e+01,7.6815102656615419e+00,4.6516707048713440e-02,-8.8420812002990716e-16,-6.5176831071767386e-04,6.2649944910717070e-17,-1.4028020009294835e-05,3.5852043418286989e+01,2.1511226050679220e+01,2.9297453352228331e-10,8.5688053798408260e-12,-8.6217116989540690e-06,sliding
1,-8.0009101579717246e-01,1.1200136523695759e+01,7.9713025649398572e+00,8.0039501535040414e-02,3.5527136788005009e-15,-1.1658726509324070e-03,-6.9718604262143657e-16,-2.5510356125241646e-05,3.7502956993181812e+01,2.2501774195921993e+01,-1.2907008795082220e-11,1.3061366403389121e-12,-1.6400807805364086e-05,sliding
2,-7.2059049977905998e-01,1.1080885749668591e+01,8.1778509643968285e+00,9.4218141163246699e-02,4.4259464883721223e-15,-1.4676489599402558e-03,2.0866910765493865e-16,-3.3345594547825868e-05,4.8230410267242213e+01,2.8938246160178938e+01,1.6638779243294266e-10,3.1655040617484193e-12,-2.7570372096643020e-05,sliding
3,-6.5299655674127211e-01,1.0979494835111907e+01,8.3534651798348758e+00,7.5258458559542885e-02,-8.0144224590128488e-16,-1.6881916518126515e-03,2.5642736631997787e-16,-3.8416162075546634e-05,3.3633440322393120e+01,2.0180064193380538e+01,5.5333515547317802e-11,4.5773206953334185e-13,-2.2149731907081200e-05,sliding
4,-5.6690295858890183e-01,1.0850354437883352e+01,8.5771429091443601e+00,1.2885586127644715e-02,-3.2003398446313557e-15,-1.8779487023914325e-03,-1.3098305738103687e-17,-4.3583766326466245e-05,4.2435965188065957e+01,2.5461579112749224e+01,9.0349061565575539e-11,2.0827341429487198e-12,-3.1706043267225595e-05,sliding
5,-4.9078305099401720e-01,1.0736174576491026e+01,8.7749082302770436e+00,1.0370439705327555e-01,-1.6861512186494565e-15,-2.0140641505259271e-03,-4.0858497683295136e-16,-4.7447734254049416e-05,3.7125640647987979e+01,2.2275384388928998e+01,-1.3621104244521121e-10,3.0728736529885261e-12,-3.0197614825505831e-05,sliding
6,-4.1216631795438308e-01,1.0618249476931574e+01,8.9791604942016310e+00,6.0925629923018990e-02,3.5251749436193691e-15,-2.1266790375036732e-03,1.7236781663446110e-16,-5.0685185560046109e-05,3.8786925890099404e+01,2.3272155534112709e+01,-5.3066884220243082e-11,1.9630286058672304e-12,-3.3701529189393052e-05,sliding
7,-3.3286720913901435e-01,1.0499300813708521e+01,9.1851856223963591e+00,4.9261533772682158e-02,-1.0477729794899915e-15,-2.2071053521113002e-03,-2.1680485911331621e-16,-5.3068186294880863e-05,4.3405676547535265e+01,2.6043405928297275e+01,2.2388135789697117e-10,5.8225213941154627e-12,-3.9487894787316700e-05,sliding
8,-2.6148010341434658e-01,1.0392220155121519e+01,9.3706547635769812e+00,4.0174842849737200e-02,1.8532520428174695e-15,-2.2776367508402077e-03,-5.3483015542352130e-16,-5.5096924566034920e-05,3.5196228027262322e+01,2.1117736816365635e+01,-8.2422957348171622e-12,2.3562873085485697e-13,-3.3243495782190740e-05,sliding
9,-1.7539165102989251e-01,1.0263087476544840e+01,9.5943191237892549e+00,7.6970377770085377e-02,3.5070484385481271e-15,-2.3153441007078145e-03,-6.9891229576794084e-17,-5.6436843492374647e-05,4.2905891864349904e+01,2.5743535118574922e+01,3.5019098731936538e-11,1.0757631377144129e-12,-4.1510967497927524e-05,sliding
