node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-9.2304046545782026e-01,1.1384560698186730e+01,7.6018705245775458e+00,1.5173998566320335e-01,1.0130785099704553e-15,-6.1404870172310656e-04,3.1008182133085427e-17,-3.1679533615720790e-06,5.1701549027806017e+01,3.1020929415845327e+01,8.3828055608137220e-10,4.7047619941132371e-11,-2.8077959320576398e-06,sliding
1,-8.4480345130264456e-01,1.1267205176953967e+01,7.8051362499014196e+00,9.8852119531352506e-02,-2.0054461166668783e-15,-1.0185578681201921e-03,-1.4636729328554310e-17,-6.2553354045246159e-06,3.6154333836213667e+01,2.1692600301754634e+01,-2.6435742483954527e-11,1.8117608194856839e-12,-3.8769854481076325e-06,sliding
2,-7.6873128138172775e-01,1.1153096922072592e+01,8.0027775449189811e+00,4.8356128061888319e-02,-3.3574801100178336e-15,-1.3421799755348966e-03,3.5778671692021646e-18,-9.7199915838576054e-06,3.6401876433447732e+01,2.1841125860127846e+01,-5.9205973457210348e-11,4.4533873531851676e-12,-6.0655874154976392e-06,sliding
3,-6.9057632607566721e-01,1.1035864489113500e+01,8.2058300750990387e+00,4.4277375196819874e-02,5.1430223266420945e-15,-1.5794502674634277e-03,3.9898639947466563e-17,-1.3050428141385753e-05,4.1203494258582147e+01,2.4722096555131518e+01,1.7770673821360106e-11,3.4324345202959361e-12,-9.2181127027755472e-06,sliding
4,-6.1627790698707796e-01,1.0924416860480617e+01,8.3988630302742617e+00,8.8722235506452141e-02,-4.5970172113385388e-15,-1.7584823852316814e-03,1.4067523187999420e-17,-1.6202536170326336e-05,3.8985031913864894e+01,2.3391019148252489e+01,6.6446403934605769e-11,7.3377315977516308e-12,-1.0828395251724481e-05,sliding
5,-5.0838454890647766e-01,1.0762576823359716e+01,8.6791781972664932e+00,7.8963442860800800e-02,7.4287091505985215e-15,-1.9407873872513554e-03,-1.3301805403681533e-17,-2.0996576070994631e-05,3.9481225357687826e+01,2.3688735214617111e+01,-4.4160231027490227e-12,1.5109515552690280e-12,-1.4210923741695928e-05,sliding
6,-3.9453889012749976e-01,1.0591808335191249e+01,8.9749578951060034e+00,2.9038270822397461e-02,4.6256174397350051e-16,-2.1000809391717983e-03,-9.9746599868666408e-18,-2.5204529468223630e-05,4.0707909082638295e+01,2.4424745449567812e+01,1.5162981981120538e-11,1.3230568362041673e-12,-1.7588977612499798e-05,sliding
7,-3.0326155626517803e-01,1.0454892334397767e+01,9.2121033648494564e+00,5.1257768769323676e-02,3.6410837151763385e-15,-2.1867594188530399e-03,9.0293712177308416e-18,-2.8600719946027650e-05,4.0597204086670878e+01,2.4358322451992713e+01,9.8125951808469836e-12,5.6089161760639046e-13,-1.9904730251556603e-05,sliding
8,-2.2324064463727544e-01,1.0334860966955913e+01,9.4200037917607151e+00,2.8388771061782028e-02,2.9152028013790243e-15,-2.2438737022001530e-03,-2.0870891820345960e-17,-3.1405520150905829e-05,4.0498276872553276e+01,2.4298966123510795e+01,2.1170620811972185e-11,2.2830430526629985e-13,-2.1803476292517038e-05,sliding
9,-1.3764873863321925e-01,1.0206473107949829e+01,9.6423780866342437e+00,6.9949414198545556e-02,-3.2539075600634959e-15,-2.2783040304485904e-03,-4.0467846088021453e-17,-3.3991571316322735e-05,4.0202301967491579e+01,2.4121381180480579e+01,1.4367174117069226e-11,5.5318037433913165e-13,-2.3426389961271732e-05,sliding
10,-6.4831490772451983e-02,1.0097247236158678e+01,9.8315628460775208e+00,1.0767378404617566e-01,-5.1113580405400170e-15,-2.3106285828642724e-03,8.3483567281383841e-18,-3.6018246086275130e-05,4.0750577898666087e+01,2.4450346739182816e+01,1.6836310123835574e-11,7.9512375939842985e-13,-2.5161674449904036e-05,sliding
11,3.3373449286271395e-03,9.9949939826070597e+00,1.0008670676468148e+01,1.2399753391593504e-02,4.3689711791266405e-15,-2.3308967337302327e-03,1.0166089432946113e-17,-3.7526788528761349e-05,3.9079725687256897e+01,2.3447835412327585e+01,2.6552982035354944e-11,3.6819243033877014e-13,-2.5140627456446257e-05,sliding
12,1.2266346547167428e-01,9.8160048017924879e+00,1.0318689031644116e+01,1.1063116763895352e-01,-4.8850390211737978e-15,-2.3143788861166711e-03,-3.3068166260807885e-18,-3.9904832796163088e-05,4.1388999410002697e+01,2.4833399646017856e+01,-1.6239454225797090e-11,1.4840544502548157e-13,-2.8313504589561088e-05,sliding
13,2.1328690299384445e-01,9.6800696455092332e+00,1.0554135628861530e+01,8.2217688647411562e-03,-2.0017760235871429e-16,-2.3066199804758505e-03,1.5502820517121832e-18,-4.0974963189309768e-05,3.8653284280982646e+01,2.3191970568573744e+01,1.5841550293771434e-11,1.0230536023322568e-12,-2.7151146866710418e-05,sliding
14,2.8185574432734684e-01,9.5772163835089792e+00,1.0732282704370162e+01,5.2399599220044668e-02,-2.1309047943369528e-15,-2.2642287299852611e-03,3.4152368433293390e-18,-4.1690252380323714e-05,4.0206305698425005e+01,2.4123783419042763e+01,1.2239098623467726e-11,1.7402776854774285e-12,-2.8735046260233181e-05,sliding
15,3.5276036099222230e-01,9.4708594585116668e+00,1.0916498302202301e+01,4.7577491663037388e-02,-1.2030307305899157e-15,-2.2231554110580805e-03,-3.5968407072206610e-17,-4.2045192330033567e-05,4.0195127456562552e+01,2.4117076473932414e+01,5.1159076974727213e-12,6.2616131195377774e-13,-2.8971631965274746e-05,sliding
16,4.2906070997987689e-01,9.3564089350301849e+00,1.1114732423825082e+01,1.6441003698824494e-01,-2.1491702236638646e-15,-2.1730200694483359e-03,-2.6291902682773483e-17,-4.2597474413088796e-05,3.8580870881447950e+01,2.3148522528871691e+01,-2.9203306439740118e-12,1.3351603721768736e-13,-2.8173388460697751e-05,sliding
17,4.8538523738313044e-01,9.2719221439253037e+00,1.1261067838587193e+01,5.3035149854241976e-03,-2.8817754931485806e-15,-2.0889903215933628e-03,-6.3345358960412851e-18,-4.1959408537974550e-05,4.2112757002472662e+01,2.5267654201471245e+01,1.2352785461189342e-11,1.2089875623657529e-13,-3.0291880726737171e-05,sliding
18,5.5833872572175935e-01,9.1624919114173604e+00,1.1450606561175027e+01,4.4952516027912844e-02,-2.7009644520958886e-15,-1.9771381197907540e-03,6.5052130349130266e-19,-4.0953652082110353e-05,3.5728669719925755e+01,2.1437201831950212e+01,5.2402526762307389e-12,5.9212383142790815e-13,-2.5083763012561933e-05,sliding
19,6.1876017188745269e-01,9.0718597421688205e+00,1.1607586083113679e+01,1.3759849315651967e-01,-1.7707189881033258e-15,-1.8465080225576419e-03,-1.7645390357201585e-17,-4.0850320276545130e-05,4.8783048198471626e+01,2.9269828919089623e+01,-6.6471272930357372e-12,1.8181773585238342e-12,-3.4162339593842680e-05,sliding
20,6.4178353037296221e-01,9.0373247044405574e+00,1.1667402523100341e+01,1.1465868466778421e-01,5.9166910319375305e-16,-1.8142968591030502e-03,-1.8594067258126401e-17,-3.5290488226544584e-05,3.1410465072494475e+01,1.8846279043510460e+01,-1.3777423646388343e-11,7.7581702939959194e-13,-1.9002696819976566e-05,sliding
21,6.9343974953522136e-01,8.9598403756971674e+00,1.1801609317274261e+01,4.7365924101420383e-02,1.5038398971158719e-15,-1.6973269558516082e-03,1.3417001884508117e-17,-3.4589093465917965e-05,4.0078562270808114e+01,2.4047137362514569e+01,-2.9700686354772188e-11,2.9304087575768924e-13,-2.3764819480565273e-05,sliding
22,8.1175023122632295e-01,8.7823746531605149e+00,1.2108988965309663e+01,3.6223628797396448e-02,1.7759231585312563e-16,-1.3302521377008920e-03,-1.8295911660692887e-17,-2.8442376693594770e-05,4.1080192258175437e+01,2.4648115354887913e+01,1.7347900893582846e-11,5.8333362839924599e-13,-2.0030028048882840e-05,sliding
23,9.0643885985270245e-01,8.6403417102209463e+00,1.2354997238829528e+01,1.0130570535396136e-02,4.1971634501258848e-15,-9.5840525001501884e-04,2.0057740190981832e-17,-2.0919198871038013e-05,4.4126601112390155e+01,2.6475960667383983e+01,5.0107473725802265e-11,6.2562818726178036e-13,-1.5824453900079594e-05,sliding
24,9.8625830200477216e-01,8.5206125469928420e+00,1.2562374232688313e+01,5.0521321287585748e-02,-2.8804544963772128e-15,-5.3830855070351397e-04,-5.0957502106818708e-18,-1.1439781123962628e-05,1.9548585151751031e+01,1.1729151091031204e+01,1.9413803897805337e-11,1.1661499843414020e-12,-3.8336834643224125e-06,sliding
