node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-9.8809971940356123e-01,1.1482149579105341e+01,7.4328416245727214e+00,5.5429581121478430e-02,-3.2360137815302584e-15,-6.6033862991791428e-04,-1.2021904739062395e-15,-1.5571108660973269e-05,4.8572887283160597e+01,2.9143732369186459e+01,7.0989614187055849e-10,1.8861469504735494e-11,-1.2965720671626466e-05,sliding
1,-8.9719836706570844e-01,1.1345797550598563e+01,7.6690102656615426e+00,2.1516707048713894e-02,2.4198677638337204e-15,-1.1218911047686192e-03,1.0538140184698092e-15,-2.7144784256409658e-05,3.9687185494906558e+01,2.3812311296539651e+01,4.0428460579278180e-10,1.1636100281410068e-11,-1.8468001508315296e-05,sliding
2,-7.8565725906743167e-01,1.1178485888601148e+01,7.9588025649398570e+00,5.5039501535040419e-02,-8.5348395018058909e-16,-1.5049242581026653e-03,3.4931299931588444e-16,-3.7723428370547372e-05,3.9430945426627986e+01,2.3658567255791873e+01,1.8491874698156607e-10,5.2191638640504135e-12,-2.5499493349246920e-05,sliding
3,-7.0615674304931875e-01,1.1059235114573978e+01,8.1653509643968292e+00,6.9218141163245622e-02,-2.7313221129254828e-15,-1.7290217316835569e-03,-1.2545184753217156e-15,-4.5059242337898131e-05,4.3759872855450745e+01,2.6255923713178120e+01,9.2324370370988618e-11,6.5172055788961959e-13,-3.3802057982784548e-05,sliding
4,-6.3856280001153110e-01,1.0957844200017297e+01,8.3409651798348765e+00,1.0025845855954243e-01,2.8102520310824275e-16,-1.9159422855320157e-03,-3.4017859601269407e-16,-5.0210710790096623e-05,3.8530628544768184e+01,2.3118377126923559e+01,-6.2648553011968033e-11,1.0103094551228239e-12,-3.3165432795895536e-05,sliding
5,-5.5246920185916104e-01,1.0828703802788741e+01,8.5646429091443608e+00,1.2114413872354826e-02,-2.8299845106216637e-15,-2.0806769167645003e-03,-1.3190329515075762e-15,-5.5595981992635535e-05,4.0200742037903410e+01,2.4120445222929916e+01,-1.8787105204864929e-10,4.7970561285493875e-12,-3.8314281093381813e-05,sliding
6,-4.7634929426427630e-01,1.0714523941396415e+01,8.7624082302770425e+00,1.2870439705327599e-01,-3.4520997171938461e-15,-2.1991643069229614e-03,-6.6079073094381380e-16,-5.9673268035526496e-05,3.8449438367422260e+01,2.3069663020674056e+01,-2.2070167915444472e-10,6.4633309658284030e-12,-3.9332633854913051e-05,sliding
7,-3.9773256122464240e-01,1.0596598841836963e+01,8.9666604942016299e+00,3.5925629923018558e-02,5.0362817215210409e-15,-2.3013000112128861e-03,5.2349007832568073e-16,-6.3151797097167926e-05,3.9249228058418943e+01,2.3549536834889295e+01,1.6207124531320005e-10,4.5509682280313848e-12,-4.2491302055120313e-05,sliding
8,-3.1843345240927423e-01,1.0477650178613912e+01,9.1726856223963562e+00,7.4261533772681937e-02,5.2492732383058183e-15,-2.3699412740634403e-03,7.8171230746089046e-16,-6.5472989790987411e-05,4.1480693881409948e+01,2.4888416328768876e+01,7.7090334116292070e-11,2.5785465200556690e-12,-4.6557686520209403e-05,sliding
9,-2.4704634668460579e-01,1.0370569520026908e+01,9.3581547635769819e+00,6.5174842849736736e-02,1.0243542125643046e-15,-2.4315760011033708e-03,4.8149841996554879e-16,-6.7657271154965851e-05,3.8022382139636946e+01,2.2813429283911614e+01,-1.2944667560077505e-10,3.0345902224496863e-12,-4.4099839172464183e-05,sliding
