node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-9.8809971940356123e-01,1.1482149579105341e+01,7.4328416245727214e+00,5.5429581121478430e-02,1.2256950001106347e-15,-6.6033868035111595e-04,-1.3104277320381830e-16,-1.5568032281712392e-05,4.8573585333208150e+01,2.9144151199963659e+01,-3.8770764376749867e-11,2.3870531425858309e-12,-1.2963345334404033e-05,sliding
1,-8.9719836706570844e-01,1.1345797550598563e+01,7.6690102656615426e+00,2.1516707048713894e-02,1.7502645045447379e-15,-1.1218911921357037e-03,3.3230796586680711e-17,-2.7139379809715873e-05,3.9687212124515753e+01,2.3812327274650851e+01,5.8598459418135462e-11,6.0636587693601379e-14,-1.8464336973143028e-05,sliding
2,-7.8565725906743167e-01,1.1178485888601148e+01,7.9588025649398570e+00,5.5039501535040419e-02,-1.8457457784393227e-15,-1.5049243792639119e-03,9.3329478260267829e-17,-3.7715790823736304e-05,3.9431019334875010e+01,2.3658611600908785e+01,1.6221690657403087e-11,1.5555626713178699e-12,-2.5494378466282765e-05,sliding
3,-7.0615674304931875e-01,1.1059235114573978e+01,8.1653509643968292e+00,6.9218141163245622e-02,-2.3943520777169880e-15,-1.7290218762989263e-03,1.0688369948223114e-16,-4.5049545269115946e-05,4.3760047810246313e+01,2.6256028686050794e+01,9.6992636144932476e-11,3.3863128832394140e-12,-3.3794918653698632e-05,sliding
4,-6.3856280001153110e-01,1.0957844200017297e+01,8.3409651798348765e+00,1.0025845855954243e-01,-4.4061976289810900e-16,-1.9159424461556069e-03,-9.1869193459201415e-17,-5.0199910367215787e-05,3.8530431740178564e+01,2.3118259044135065e+01,-2.7927882229050738e-11,1.0540654086090826e-13,-3.3158129481761599e-05,sliding
5,-5.5246920185916104e-01,1.0828703802788741e+01,8.5646429091443608e+00,1.2114413872354826e-02,-1.5845072649789405e-15,-2.0806770943641415e-03,-2.4488146021595450e-17,-5.5584062944887124e-05,4.0200797556761536e+01,2.4120478534047695e+01,9.2263974238449009e-12,8.2717470829343357e-13,-3.8306119917065883e-05,sliding
6,-4.7634929426427630e-01,1.0714523941396415e+01,8.7624082302770425e+00,1.2870439705327599e-01,-5.8564264548977008e-15,-2.1991644975704640e-03,2.4887522056225853e-17,-5.9660416063859982e-05,3.8449290753105572e+01,2.3069574451844808e+01,1.8534507262302213e-11,4.8120850731932770e-14,-3.9324011720378742e-05,sliding
7,-3.9773256122464240e-01,1.0596598841836963e+01,8.9666604942016299e+00,3.5925629923018558e-02,-2.3379193546391175e-15,-2.3013002130538667e-03,4.4045713257223618e-19,-6.3138134885976118e-05,3.9249244685346213e+01,2.3549546811291780e+01,-8.4053652926741051e-11,3.0438564254905228e-12,-4.2482127516427116e-05,sliding
8,-3.1843345240927423e-01,1.0477650178613912e+01,9.1726856223963562e+00,7.4261533772681937e-02,-5.1868231931706532e-16,-2.3699414833909145e-03,2.0386388974516501e-17,-6.5458971242652922e-05,4.1480692796497458e+01,2.4888415677906767e+01,-8.2920337263203692e-12,1.0323896356621586e-12,-4.6547716746722608e-05,sliding
9,-2.4704634668460579e-01,1.0370569520026908e+01,9.3581547635769819e+00,6.5174842849736736e-02,1.6306400674181987e-16,-2.4315762175320110e-03,-7.1658140304766554e-17,-6.7642644394920359e-05,3.8022334673512212e+01,2.2813400804079183e+01,2.8144597763457568e-11,1.1091532410858048e-12,-4.4090250229403387e-05,sliding
10,-1.6095789430015173e-01,1.0241436841450227e+01,9.5818191237892538e+00,5.1970377770083412e-02,-6.6086009843408759e-15,-2.4554793182049351e-03,3.5776130593179883e-17,-6.8994403711644447e-05,4.1288225380951616e+01,2.4772935228572091e+01,-1.1226575225009583e-12,2.8737326824743208e-13,-4.8834111265214910e-05,sliding
11,-9.1615760140039804e-02,1.0137423640210059e+01,9.7619752729951106e+00,1.0448261856494387e-01,1.8175565219546996e-15,-2.4838541253518428e-03,-6.2705002052288600e-17,-6.9821940543109238e-05,4.0785281347924560e+01,2.4471168808746089e+01,8.6473050942004193e-12,2.1420400321908437e-14,-4.8817842673847392e-05,sliding
12,2.6401054945144331e-03,9.9960398417582290e+00,1.0006859195280761e+01,4.7330812322430721e-03,1.0234157000587468e-15,-2.4984934228619235e-03,-7.2462106093428281e-17,-7.0645751997185414e-05,3.7499097576263772e+01,2.2499458545732544e+01,2.5718094320836826e-11,8.2647021660673771e-13,-4.5414033385507862e-05,sliding
13,1.0367884856461629e-01,9.8444817271530756e+00,1.0269365550076232e+01,1.4088388844590594e-01,3.0269588899350827e-15,-2.4802260571694969e-03,-1.7702988597614877e-17,-6.9609552142771219e-05,4.0524806850809412e+01,2.4314884110516623e+01,-3.0976110565461568e-11,8.6574373603818055e-13,-4.8358519809612753e-05,sliding
