node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1500000000000000e+01,7.4019237886466840e+00,2.6026668533952513e-01,1.0436313271910969e-14,-1.5657766834465881e-04,-1.3459353531870832e-17,-6.6120483345887029e-06,7.6267276380394037e+01,4.5760365827899328e+01,3.3709568469930673e-10,5.2750531032045163e-12,-8.6448500189294727e-06,sliding
1,-8.9615606225228706e-01,1.1344234093378430e+01,7.6717182530022718e+00,8.2703013049947371e-02,2.3566784968278240e-15,-8.8199242113395286e-04,3.9839347641158762e-17,-2.4399769486317277e-05,6.2835057173475789e+01,3.7701034304109008e+01,-2.3533175408374518e-11,6.2552790180146510e-12,-2.6282758469028567e-05,sliding
2,-7.4745379326413475e-01,1.1121180689896203e+01,8.0580580806346518e+00,1.7178857436779920e-02,-3.8176463524913309e-16,-1.4738300494082127e-03,-2.3171433305088640e-17,-3.9211737386638025e-05,3.6726710487841807e+01,2.2036026292717747e+01,-1.2661871551244985e-11,1.6160405880333835e-12,-2.4687739315288544e-05,sliding
3,-5.7822319546785383e-01,1.0867334793201781e+01,8.4977320710022699e+00,6.0881881771693630e-03,2.3405756499617070e-15,-1.8815239982448687e-03,-3.7742279352214326e-17,-5.0533932334608767e-05,4.1441659468127988e+01,2.4864995680911328e+01,-3.4535929671619670e-11,2.5867339041249499e-13,-3.5900743121128921e-05,sliding
4,-4.1628519202640002e-01,1.0624427788039601e+01,8.9184593454575634e+00,1.5892476438126443e-01,2.4282033108653671e-15,-2.1025798662861225e-03,2.2459925629395028e-17,-5.7960295737028190e-05,3.5550322614680525e+01,2.1330193568810369e+01,-2.0534685063466895e-12,6.4569652388898898e-13,-3.5322980782180167e-05,sliding
5,-2.8562259441261884e-01,1.0428433891618928e+01,9.2579307320315589e+00,9.8904532863818131e-02,-1.6394224532286494e-16,-2.2224855325494106e-03,-5.8987374446789476e-18,-6.3681548369596790e-05,4.9445068947012949e+01,2.9667041368219763e+01,-1.1993961379630491e-11,1.2787059388137654e-12,-5.3978375139231877e-05,sliding
6,-1.7579190491770658e-01,1.0263687857376560e+01,9.5432792336848227e+00,1.6990735504981269e-01,2.7096380694757727e-15,-2.3795129683562215e-03,-3.1545201021644653e-17,-6.7871791304032825e-05,3.7162176529998014e+01,2.2297305918002319e+01,-3.5100811146548949e-12,3.6986160607413796e-13,-4.3238802683109414e-05,sliding
7,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,-2.7533897702443639e-15,-2.4813811891031805e-03,-4.4240530835092107e-18,-7.0959147912455744e-05,3.7573914894081362e+01,2.2544348936458334e+01,-9.5177199455065420e-12,9.1983099866731114e-14,-4.5706508307776030e-05,sliding
8,1.7579190491770613e-01,9.7363121426234400e+00,1.0456720766315176e+01,1.6990735504981117e-01,-3.0871168928247785e-15,-2.4207746378209650e-03,2.0728590285207238e-17,-7.0666924337837598e-05,4.0249763605279050e+01,2.4149858163172144e+01,-4.7144510517682647e-12,1.7343691454178233e-13,-4.8759891416754158e-05,sliding
9,2.8562259441261850e-01,9.5715661083810719e+00,1.0742069267968441e+01,9.8904532863817243e-02,-3.7021031693247542e-15,-2.4058652969017455e-03,3.8483247892604627e-17,-7.1639934708150164e-05,4.8025877804273108e+01,2.8815526682514022e+01,4.9841020199892228e-11,2.6067830273617081e-12,-5.8981212860464670e-05,sliding
10,3.2831644968345852e-01,9.5075253254748127e+00,1.0852991157718572e+01,1.9982507295404520e-01,-1.5668945081599889e-15,-2.3715750937086640e-03,-3.4753761825843943e-18,-7.2078670339893047e-05,2.8161966575876075e+01,1.6897179945526943e+01,-1.3002932064409833e-12,2.8573262865191454e-13,-3.4797893227642532e-05,sliding
11,4.1643860380587361e-01,9.3753420942911898e+00,1.1081939230037229e+01,1.5894088392684236e-01,1.7763568394002505e-15,-2.2388570422021250e-03,1.1621292036329001e-18,-6.3410731173025721e-05,4.5166158432940335e+01,2.7099695059735410e+01,2.8791191652999260e-11,2.4864556941544885e-13,-4.9097470808681579e-05,sliding
12,5.7822319546785494e-01,9.1326652067982170e+00,1.1502267928997732e+01,6.0881881771629714e-03,1.3616746919941329e-15,-2.0790093908705006e-03,5.4408764320185957e-18,-5.6903938163900462e-05,3.6004569670093140e+01,2.1602741802061413e+01,-5.5280224842135794e-12,4.0444490871074620e-13,-3.5122316676434574e-05,sliding
13,7.5990738882243836e-01,8.8601389167663420e+00,1.1974297309731192e+01,2.4664333338576478e-03,5.2892802984705334e-15,-1.7573665312040606e-03,4.4496334785162905e-17,-4.7142750438232968e-05,4.3941599937370967e+01,2.6364959962393570e+01,2.9007907187406090e-11,1.0442008820261105e-12,-3.5511906509174975e-05,sliding
14,9.3155618467912915e-01,8.6026657229813068e+00,1.2420253962953900e+01,1.0444626041122397e-01,1.9499984210410448e-16,-1.0270842730334964e-03,1.9098898894689964e-17,-2.8457747128502205e-05,2.1822837550342356e+01,1.3093702530210034e+01,-4.6203041392800515e-12,6.2859209947139085e-13,-1.0646207873729905e-05,sliding
