node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1500000000000000e+01,7.4019237886466840e+00,1.5775929157396684e-01,-3.3059731297661873e-15,-1.0080719997717042e-03,-1.4362442474266738e-16,-3.6969746776534895e-05,4.5498528183629766e+01,2.7299116910483001e+01,-3.0514257787217502e-10,9.7695545213843494e-12,-2.8835469697245088e-05,sliding
1,-8.8465471307032695e-01,1.1326982069605490e+01,7.7015996347103908e+00,7.4064416052887411e-02,-3.8159719723389442e-15,-1.5523629873207519e-03,-3.4972666902957667e-16,-5.6383567550420552e-05,3.7730456085432962e+01,2.2638273651192335e+01,6.7441163764669909e-11,2.0836100080652511e-12,-3.6469332332483106e-05,sliding
2,-7.5884103261400071e-01,1.1138261548921001e+01,8.0284731649667798e+00,4.1267677267787448e-02,-2.0502388977087462e-15,-1.9065950279851479e-03,4.1564980284843930e-17,-7.1358009602836704e-05,4.1529436215060528e+01,2.4917661729109398e+01,-7.3082873086605105e-11,8.8257524436594183e-14,-5.0802135569886432e-05,sliding
3,-6.5720835631901320e-01,1.0985812534478519e+01,8.2925226035449580e+00,4.9815420531149943e-02,1.8644947384595499e-15,-2.1307229074759774e-03,-3.1133056347801833e-16,-8.1422916349448707e-05,3.8767214535899932e+01,2.3260328721602672e+01,-6.2712501858186442e-11,1.2662346826271729e-12,-5.4112108564563819e-05,sliding
4,-5.5566869842711841e-01,1.0833503047640678e+01,8.5563303732228437e+00,4.2251843546705871e-03,3.9734985978962924e-15,-2.3112489753543759e-03,8.0883543387445403e-16,-8.9804733702390858e-05,4.0426840154818720e+01,2.4256104092859260e+01,3.1970870395525708e-11,4.1758314502932854e-13,-6.2237513391905682e-05,sliding
5,-4.2216008768380298e-01,1.0633240131525705e+01,8.9031959188058813e+00,1.0509428018001864e-01,5.0269908553512156e-16,-2.4958316299288261e-03,6.6107347781925889e-16,-9.9553572233591946e-05,3.7876887579907304e+01,2.2726132547891211e+01,5.3169912916928297e-11,9.5603238234613253e-13,-6.4641933662762087e-05,sliding
6,-2.9465464301593813e-01,1.0441981964523908e+01,9.2344647814154879e+00,1.1014392282728083e-01,-7.7994618269808769e-16,-2.6027129759023876e-03,-3.2542986652387473e-16,-1.0592882383057688e-04,4.0882460278492253e+01,2.4529476167017133e+01,7.8216544352471828e-11,2.2219304791299968e-12,-7.4239387415779773e-05,sliding
7,-1.6911467796275526e-01,1.0253672016944133e+01,9.5606271781942880e+00,1.7277260262764754e-01,-7.5822186232016277e-16,-2.6931875617792382e-03,2.4064843350067963e-16,-1.1094630155402510e-04,4.0813127890196576e+01,2.4487876734078458e+01,3.9484859826188767e-11,1.0352393272282521e-12,-7.7623981615910394e-05,sliding
8,-9.1321649691308071e-02,1.0136982474536962e+01,9.7627393943554708e+00,6.1034256279933571e-02,2.3323538005840827e-15,-2.7138519930538078e-03,1.8941953211965581e-16,-1.1294662125713428e-04,3.5470852705299087e+01,2.1282511623187720e+01,-8.2671647305687657e-12,2.3736742513509439e-13,-6.8679650848706890e-05,sliding
9,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,2.6199874409607378e-15,-2.7099074173361376e-03,-9.7806854714784658e-16,-1.1305827353494074e-04,4.4580016739275635e+01,2.6748010043570059e+01,-4.6789239149802597e-12,1.5372635579184429e-13,-8.6402395314893874e-05,sliding
10,9.1498570642437160e-02,9.8627521440363441e+00,1.0237720259758946e+01,6.2153581647885682e-02,-1.6225848247720984e-15,-2.7099654930761510e-03,1.2911523046581274e-17,-1.1308861395041716e-04,3.5511902804411470e+01,2.1307141682714459e+01,-6.7576166884464328e-11,2.0871641553169438e-12,-6.8845574861238211e-05,sliding
11,1.6911467796275592e-01,9.7463279830558669e+00,1.0439372821805714e+01,1.7277260262764907e-01,3.4463781793888002e-15,-2.6861138394930957e-03,-1.3340211561961491e-16,-1.1130312511438028e-04,4.0782435711167189e+01,2.4469461426646610e+01,5.3702819968748372e-11,1.3473838204941176e-12,-7.7815072190044279e-05,sliding
12,2.9465464301593736e-01,9.5580180354760937e+00,1.0765535218584510e+01,1.1014392282728237e-01,3.0485457096082400e-15,-2.5896153368046926e-03,-7.7263648232106757e-17,-1.0662861313005508e-04,4.0846483101164480e+01,2.4507889860683974e+01,1.4711787343912874e-11,7.4317582924114996e-13,-7.4664065902539165e-05,sliding
13,4.2216008768380342e-01,9.3667598684742952e+00,1.1096804081194119e+01,1.0509428018002018e-01,-6.9407314735226635e-16,-2.4796762599426743e-03,-7.0616781563646956e-17,-1.0072008514075728e-04,3.8402626342756854e+01,2.3041575805603685e+01,5.0427217956894310e-11,1.5767099509726517e-12,-6.6307127911931888e-05,sliding
14,5.5566869842711797e-01,9.1664969523593225e+00,1.1443669626777154e+01,4.2251843546705871e-03,-2.7585674554826541e-15,-2.3049985816703503e-03,-7.2197039061990505e-16,-9.2044734184335019e-05,4.0146570374989111e+01,2.4087942225029057e+01,-3.5591085634223418e-11,1.0476854446738442e-12,-6.3347663975726263e-05,sliding
