case,n_elem_target,n_elem_actual,n_c,h_eff,err_l2,ref_l2,rel_l2,gap_shift_rel,contact_ok
embedded_shifted,20,1028,8,6.237829e-01,1.650116e-03,4.969035e-03,0.332080,4.275198e-01,1
embedded_shifted,30,2326,11,4.146915e-01,1.399937e-03,5.848478e-03,0.239368,5.229123e-01,1
embedded_shifted,40,4284,15,3.055662e-01,9.966723e-04,6.972135e-03,0.142951,5.467645e-01,1
embedded_shifted,50,6644,19,2.453665e-01,2.124681e-03,7.779582e-03,0.273110,5.087459e-01,1
embedded_shifted,60,9462,22,2.056073e-01,9.408846e-04,8.555511e-03,0.109974,5.560295e-01,1
embedded_shifted,70,13070,25,1.749412e-01,9.558584e-04,9.099997e-03,0.105039,5.996211e-01,1
conforming,20,1016,5,6.274558e-01,9.213061e-04,4.406717e-03,0.209069,3.117808e-15,1
conforming,30,2410,8,4.074004e-01,7.416104e-04,5.439770e-03,0.136331,6.364337e-15,1
conforming,40,4170,11,3.097148e-01,5.944937e-04,6.298457e-03,0.094387,5.646808e-15,1
conforming,50,6632,14,2.455883e-01,5.978849e-04,7.050747e-03,0.084797,7.957672e-15,1
conforming,60,9498,17,2.052173e-01,4.220465e-04,7.728973e-03,0.054606,1.213716e-14,1
conforming,70,12938,20,1.758314e-01,3.864611e-04,8.351673e-03,0.046273,2.062544e-14,1
